problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,2,4.994422511117591e-07,1.4940087766010506,11.157057699980214
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,0,4.987170996173518e-07,1.3770201001989963,33.85822009999538
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,3,4.999967586627463e-07,1.3583187735903175,15.338975299964659
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,4,4.997451696908684e-07,1.6139773145780403,13.731050200003665
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,1,4.996805387236236e-07,1.2602065547776313,38.66998870001407
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,7,4.996145435143262e-07,1.3659529473366512,12.9756778999581
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,6,4.999314455744752e-07,1.6193772559109758,18.459230499982368
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,10,4.999028533347882e-07,1.4114655526485078,8.949308500043117
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,5,4.991198920833995e-07,1.390879765710155,28.742743699986022
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,11,4.999819793738425e-07,1.5186436816922013,12.449791899998672
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,9,4.998916551812727e-07,1.5687628598997694,33.866364099958446
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,8,4.998734084438183e-07,1.3720651690656485,37.87413579999702
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,1,5.630784016830148e-07,0.7537172252749209,26.66736420005327
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,3,9.020608331411495e-07,0.5881555480643886,29.48961230000714
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,4,5.194819436837861e-07,0.8717981261746657,25.26107280002907
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,0,8.915511671148124e-07,0.6525936600635535,46.748039399972185
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,7,7.911245916147891e-07,0.7555966605711176,24.453437499993015
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,2,4.999616294298903e-07,0.882459904365577,60.76207469997462
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,8,9.953425887943013e-07,0.8763346159196622,39.782049699977506
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,5,1.1766358056775061e-06,0.714727914296631,53.600791800010484
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,1,1.0362314242229331e-06,0.4607693595228885,25.989093199954368
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,9,8.271908882306889e-07,0.7701163241980857,41.07386260002386
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,6,1.4156354382066638e-06,0.8110264845068819,61.529876700020395
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,11,1.0541302799538244e-06,0.7247416077818303,39.50631289999001
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,10,7.382722060356173e-07,0.7229584811984379,47.16964520001784
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,2,8.472880494991841e-07,0.5326592216996505,40.72420479997527
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,3,8.493375389662106e-07,0.42077496421601024,29.061781900003552
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,0,9.486192311669583e-07,0.4018723237064273,48.53608819999499
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,5,1.4606306422138005e-06,0.4429206944452019,26.98317969997879
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,7,7.991363304427068e-07,0.45447038019929215,27.232813100039493
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,8,6.853287572994304e-07,0.5096567895257629,25.140921899990644
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,4,9.217325214194716e-07,0.5153235017264922,52.00224900001194
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,6,1.1976399036939256e-06,0.5408558090385147,46.138563100015745
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,9,1.0683254458854208e-06,0.4330679766599661,38.33854460000293
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,11,1.068892629518814e-06,0.4839488895948888,46.49068330001319
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,10,1.068487108568661e-06,0.54929825618099,55.449267200019676
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,0,1.2065376040482079e-06,0.27234718427568205,57.12886440003058
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,4,1.0004999921875424e-06,0.31766534296821713,55.46989779995056
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,6,1.5376075452877558e-06,0.3069902968297735,49.31810879998375
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,2,9.106909715228539e-07,0.3361365680260759,62.0399295000243
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,5,1.722619344945997e-06,0.33058303349172385,55.56442760000937
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,1,1.2652033092308557e-06,0.3476567830774135,69.62971559999278
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,3,1.2614967772606178e-06,0.24959477327318597,68.54342919995543
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,8,9.235657785211515e-07,0.3495097494325174,52.563498299976345
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,9,1.1590500434977002e-06,0.2523998533704816,68.35333069995977
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,10,1.3257390492071863e-06,0.3015027304185961,63.22506430000067
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,7,8.821398864711227e-07,0.3065559972356147,80.88566369999899
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,50,2,1.2264495126146358e-06,0.26364286038714746,48.61259729997255
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,50,3,1.6909443729673512e-06,0.17984915057967193,52.9682433999842
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,50,5,2.5104925498453667e-06,0.18748714112401424,53.15735679998761
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,50,4,1.338951960860868e-06,0.22342670533609554,56.618656800012104
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,50,0,1.3054770988674136e-06,0.2143782611892782,68.76414290000685
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,50,1,1.397964297211729e-06,0.2128678090072299,67.87166519998573
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,11,1.5241128039633622e-06,0.30858677062255485,75.36367829999654
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,50,7,1.1362578788975952e-06,0.20731441083073193,61.44687619997421
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,50,8,1.050223431775521e-06,0.24529326784491548,57.934628700022586
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,50,6,2.2546555555891246e-06,0.21734395737021184,77.86556629999541
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,4,40,50,9,1.317480496254575e-06,0.17932707933798406,61.6130514999968
