problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,0,4.999930069971015e-07,1.2870224949712297,34.26050909998594
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,1,4.988310138287488e-07,1.4954050027886485,35.70697719999589
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,2,4.996164193471486e-07,1.3026472913126628,27.89314550004201
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,3,4.998190092919685e-07,1.4022293641865378,40.53421209997032
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,4,4.991422883904306e-07,1.456849848078846,35.49705740000354
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,5,4.980649919161806e-07,1.4348247585795078,27.62036330002593
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,6,4.993286211174564e-07,1.644427352025378,27.776471799996216
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,7,4.99747784488136e-07,1.6824808585109565,29.75622939999448
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,9,4.990758952772012e-07,1.4553531475632986,22.92336710001109
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,10,4.996867346562794e-07,1.3355050041171252,24.176219300017692
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,8,4.999587304155284e-07,1.554065519731969,30.667471799999475
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,11,4.998558438273903e-07,1.616646873886455,27.64016160002211
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,0,7.718346637375362e-07,0.7506137561855071,66.05402389995288
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,2,5.307736046233913e-07,0.7963546647107568,65.8812441000482
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,1,9.90361627373204e-07,0.48143462459499514,69.1720806999947
