problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,0,0.0012244237586855888,2.008111000061035,0.2067677997983992
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,1,0.002044099383056164,2.091099977493286,0.18201430002227426
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,2,0.0019321150612086058,2.0352914333343506,0.1919340998865664
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,0,0.0049186875112354755,0.9466080069541931,0.23415719997137785
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,1,0.0036212592385709286,1.0389845371246338,0.2256916998885572
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,2,0.003205215558409691,1.0603768825531006,0.21567269996739924
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,0,0.004609794821590185,0.6983296871185303,0.204240599879995
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,1,0.0060472916811704636,1.0545341968536377,0.20035289996303618
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,2,0.004222161136567593,0.7201986908912659,0.21624820004217327
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,0,0.004766153171658516,0.4820604622364044,0.21507630008272827
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,1,0.006202010903507471,0.5478869080543518,0.22097240015864372
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,2,0.006262962706387043,0.6010663509368896,0.2238093998748809
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,0,0.005405508913099766,0.47545352578163147,0.222635000012815
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,1,0.007216732483357191,0.5428851246833801,0.22277119988575578
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,2,0.008155117742717266,0.5689132213592529,0.21227210015058517
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,0,0.007536719087511301,0.4897918999195099,0.2244502000976354
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,1,0.007675028871744871,0.4861210584640503,0.21574739995412529
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,2,0.006946011446416378,0.491346150636673,0.22520509990863502
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,0,0.008143019862473011,0.5122393369674683,0.23047220008447766
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,1,0.00658724270761013,0.43514183163642883,0.25121870008297265
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,2,0.007692617829889059,0.4870522916316986,0.23287130007520318
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,0,0.008882555179297924,0.4256501793861389,0.2372336001135409
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,1,0.008560328744351864,0.4773811399936676,0.22806210000999272
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,2,0.007116439752280712,0.41006410121917725,0.2350079999305308
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,0,0.006117535755038261,0.3674182891845703,0.25426300009712577
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,1,0.009221537970006466,0.45269495248794556,0.2554504999425262
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,2,0.007380274124443531,0.4099093973636627,0.26644430006854236
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,0,0.00748399505391717,0.3775131404399872,0.263073300011456
