problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,0,0.0010965196415781975,0.714182436466217,0.20416169986128807
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,1,0.0009963364573195577,0.8934629559516907,0.1902151999529451
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,2,0.0020066634751856327,0.9693476557731628,0.19698720006272197
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,0,0.0011333469301462173,0.5046887993812561,0.20204890007153153
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,1,0.0016697868704795837,0.6714855432510376,0.2083130998071283
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,2,0.0017836947226896882,0.6095731258392334,0.20888729998841882
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,0,0.0013843412743881345,0.5173211097717285,0.21453260001726449
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,1,0.0015619262121617794,0.5103614330291748,0.2021962001454085
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,2,0.0019455174915492535,0.5010751485824585,0.20996850007213652
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,40,0,0.0018234315793961287,0.42021918296813965,0.21879240009002388
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,40,1,0.001837357529439032,0.41261059045791626,0.20514589990489185
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,40,2,0.0013564549153670669,0.43583714962005615,0.21690179989673197
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,50,0,0.002413867274299264,0.41029250621795654,0.22171689989045262
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,50,1,0.0017606918700039387,0.46903419494628906,0.21260769991204143
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,50,2,0.0012290928279981017,0.3972686231136322,0.20985350012779236
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,60,0,0.0014216841664165258,0.3624611794948578,0.1999301000032574
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,60,1,0.001851262291893363,0.3713788688182831,0.21252209995873272
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,60,2,0.0018208007095381618,0.3303869664669037,0.20443039992824197
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,70,0,0.001360689289867878,0.31418871879577637,0.22386180004104972
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,70,1,0.0012194484006613493,0.32617875933647156,0.24564280011691153
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,70,2,0.0020013153553009033,0.3109777867794037,0.23295069998130202
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,80,0,0.0023249199148267508,0.3272292912006378,0.22128439997322857
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,80,1,0.00143082020804286,0.291154146194458,0.21167710004374385
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,80,2,0.0014282347401604056,0.27526167035102844,0.22852700017392635
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,90,0,0.001935078063979745,0.31235578656196594,0.22349909995682538
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,90,1,0.0021541244350373745,0.29366636276245117,0.22309230011887848
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,90,2,0.0023596021346747875,0.2818603515625,0.23706849990412593
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,100,0,0.0013834297424182296,0.2812933325767517,0.2316179999615997
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,100,1,0.002047271467745304,0.28810417652130127,0.22157200006768107
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,100,2,0.002028058283030987,0.2852996587753296,0.23838740005157888
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,200,0,0.002263756701722741,0.23187485337257385,0.37754120002500713
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,200,1,0.0023933995980769396,0.23604536056518555,0.3731410999316722
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,200,2,0.0021162789780646563,0.21440239250659943,0.36546400003135204
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,300,0,0.0018376572988927364,0.17020079493522644,0.37583069992251694
