problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,0,0.0004538660869002342,0.9748328924179077,0.2039989000186324
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,1,0.0005923797143623233,0.943778932094574,0.19756470015272498
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,2,0.0004469781124498695,1.1819536685943604,0.21304990001954138
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,0,0.0005789253627881408,0.5667576789855957,0.20663790008984506
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,1,0.0005998468259349465,0.4862322509288788,0.2130263999570161
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,2,0.0005563544109463692,0.5941051244735718,0.24234070000238717
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,0,0.0010560683440417051,0.4125627875328064,0.2321186000481248
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,1,0.0009161609341390431,0.3705064058303833,0.22199180000461638
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,2,0.0010476120514795184,0.39510995149612427,0.21495540020987391
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,0,0.0010774204274639487,0.3202306628227234,0.23432849999517202
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,1,0.0010226555168628693,0.3466256856918335,0.22929079993627965
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,2,0.001246920321136713,0.292247474193573,0.21671699988655746
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,0,0.001375854481011629,0.2927417457103729,0.22395740007050335
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,1,0.0011415104381740093,0.2700667679309845,0.23406450008042157
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,2,0.0013425163924694061,0.2633657157421112,0.2188726000022143
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,0,0.001051677973009646,0.20600374042987823,0.23486310010775924
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,1,0.0015734400367364287,0.2904851734638214,0.22896700003184378
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,2,0.0012188880937173963,0.2192680835723877,0.2229265000205487
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,70,0,0.0014370925491675735,0.23086373507976532,0.22289990005083382
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,70,1,0.0012841405114158988,0.2283867597579956,0.2261329998727888
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,70,2,0.0013616784708574414,0.21380148828029633,0.22659810003824532
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,80,0,0.0013528555864468217,0.19684433937072754,0.23108349996618927
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,80,1,0.001558792544528842,0.22258581221103668,0.22108800010755658
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,80,2,0.0016873434651643038,0.25047680735588074,0.22618760005570948
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,90,0,0.0011989146005362272,0.17443765699863434,0.24732139986008406
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,90,1,0.0019314484670758247,0.21521230041980743,0.2633740999735892
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,90,2,0.0016946373507380486,0.20115914940834045,0.26471709995530546
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,100,0,0.0012392516946420074,0.17189311981201172,0.27851230022497475
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,100,1,0.0014749165857210755,0.19600340723991394,0.32747379993088543
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,100,2,0.00156965886708349,0.21202562749385834,0.34793490008451045
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,200,0,0.0015516525600105524,0.15371330082416534,0.3444232000038028
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,200,1,0.0013058019103482366,0.14707884192466736,0.36789829982444644
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,200,2,0.0013659736141562462,0.14737297594547272,0.3871180999558419
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,300,0,0.0017844061367213726,0.15287335216999054,0.420442899921909
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,300,1,0.0013485352974385023,0.1403978019952774,0.35772530012764037
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,300,2,0.001634670770727098,0.1470842808485031,0.39827660005539656
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,400,0,0.001401323126628995,0.13303852081298828,0.3975776000879705
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,400,1,0.0016339506255462766,0.15174999833106995,0.41631309990771115
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,400,2,0.001616080990061164,0.13956011831760406,0.3910868000239134
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,500,0,0.0015843563014641404,0.13755488395690918,0.41369449999183416
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,500,1,0.0018821610137820244,0.15510644018650055,0.3900659999344498
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,500,2,0.0012577672023326159,0.11842852830886841,0.41473830002360046
