problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,0,7.873089634813368e-05,1.017519474029541,2.105628399993293
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,1,7.37600275897421e-05,0.7211599946022034,2.7430980000062846
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,2,6.19913189439103e-05,0.5305463671684265,2.891025700009777
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,0,0.00017957636737264693,0.22939357161521912,3.5715969000011683
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,1,0.0001307713391724974,0.2563818693161011,3.259429599987925
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,2,0.00014283361088018864,0.20447805523872375,3.2787876000074903
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,50,0,0.0002936914097517729,0.07326273620128632,3.644938600002206
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,50,1,0.0002925032458733767,0.07787947356700897,3.9307451999920886
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,50,2,0.00030051980866119266,0.0905400738120079,3.510695000004489
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,100,0,0.000382669095415622,0.052594780921936035,4.6700362999981735
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,100,1,0.00031145274988375604,0.04951087012887001,4.033004900004016
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,100,2,0.0002620284503791481,0.047418780624866486,3.738049699997646
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,200,0,0.00026693084510043263,0.03839600458741188,4.414779200000339
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,200,1,0.0003236849152017385,0.042327359318733215,4.351639099986642
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,200,2,0.0002905815781559795,0.038869474083185196,3.9416341000032844
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,500,0,0.0002995140675920993,0.03460603579878807,5.301513300000806
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,500,1,0.0002556267427280545,0.033372122794389725,5.346476700011408
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,500,2,0.00029735968564637005,0.035410042852163315,5.490018500000588
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,0,7.520736835431308e-05,0.684131383895874,2.0918208999937633
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,1,7.945982360979542e-05,0.5142951011657715,1.92758469999535
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,10,2,5.327025428414345e-05,0.6903985142707825,1.9619784999958938
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,0,0.00015531637473031878,0.16982834041118622,2.0881326999951852
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,1,0.0001423192152287811,0.18747158348560333,2.0627021999971475
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,20,2,0.0001426135131623596,0.19745345413684845,2.2556379000016022
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,50,0,0.0002926136367022991,0.09139710664749146,2.3482981999986805
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,50,1,0.00016926931857597083,0.059202585369348526,2.363305399994715
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,50,2,0.0002763636875897646,0.08172371983528137,2.285991099997773
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,100,0,0.00040342099964618683,0.05676474794745445,2.5729406000027666
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,100,1,0.00030853168573230505,0.05319054052233696,2.5501879999937955
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,100,2,0.0002657234144862741,0.048355765640735626,2.544979099999182
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,200,0,0.00025049413670785725,0.036121658980846405,2.91646409999521
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,200,1,0.0003992179408669472,0.046635791659355164,2.896542899994529
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,200,2,0.00025645323330536485,0.03674864023923874,2.896880799991777
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,500,0,0.0002824506664182991,0.034004565328359604,3.72968389999005
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,500,1,0.00029356274171732366,0.03579867258667946,3.8950364000047557
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,4,40,500,2,0.00039291707798838615,0.04114295542240143,3.855050800004392
