problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,1,4.93957168146153e-06,1.648229779095986,8.774170099990442
nsb_affine_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,0,4.993848506273935e-06,2.086670729082765,11.683016600029077
nsb_affine_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,2,4.887403065367835e-06,1.946128350080236,9.684175699949265
nsb_affine_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,3,4.9383634177502245e-06,1.7154927901290828,10.207180699973833
nsb_affine_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,4,4.910702045890503e-06,1.5842303228670551,9.66187470004661
nsb_affine_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,7,4.9824657253338955e-06,2.1349369841863166,7.5909290999989025
nsb_affine_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,5,4.960156729794107e-06,2.6435258523871368,9.854505099996459
nsb_affine_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,6,4.985744453733787e-06,1.9856079248663452,10.071399499953259
nsb_affine_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,11,4.892856395599665e-06,1.7773405069149295,8.31508460000623
nsb_affine_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,8,4.781000370712718e-06,1.8936727616080693,9.490122999995947
nsb_affine_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,9,4.932484898745315e-06,1.4535335258593634,12.069115899968892
nsb_affine_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,10,4.82236873722286e-06,1.2780352893337221,12.86539009999251
nsb_affine_d4,p,pytorch,mlp_10x100_elu,elu,10,100,20,1,4.961442755302414e-06,0.41226378345813053,11.649614399997517
nsb_affine_d4,p,pytorch,mlp_10x100_elu,elu,10,100,20,0,4.9632881200523116e-06,0.6535256438931346,12.589402899960987
nsb_affine_d4,p,pytorch,mlp_10x100_elu,elu,10,100,20,3,4.992329650121974e-06,0.4130556025317925,11.596040799980983
nsb_affine_d4,p,pytorch,mlp_10x100_elu,elu,10,100,20,2,4.975079718860798e-06,0.6759294582402099,12.45646079996368
nsb_affine_d4,p,pytorch,mlp_10x100_elu,elu,10,100,20,4,4.958889803674538e-06,0.7321331286128986,11.962899999984074
