problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,0,4.963777428201865e-06,3.4180920311960885,1.7341008000075817
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,1,4.9780119297793135e-06,3.7865988175465937,2.258413500036113
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,2,4.999025350116426e-06,3.4695702663803782,2.593882599961944
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,3,4.9753084567782935e-06,3.0340690261353864,1.6223578000208363
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,4,4.9833429329737555e-06,4.150576216327032,1.2342273000394925
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,5,4.983911367162364e-06,3.545717812816129,1.8038568999618292
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,6,4.9993004722637124e-06,3.311468100520059,2.605379299959168
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,7,4.997427822672762e-06,3.919782298873672,1.8008524000179023
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,8,4.98031340612215e-06,2.906055597031605,2.7804473000578582
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,10,4.990844445273979e-06,4.72921635313398,1.740667499951087
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,9,4.976480795448879e-06,3.4772024573701352,1.6029560000170022
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,10,11,4.9902560022019316e-06,3.820058802633083,2.339741399977356
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,0,4.9927234613278415e-06,1.6830180220457391,2.315128599992022
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,2,4.998475560569204e-06,2.407221538033915,1.671707500005141
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,1,4.986692601960385e-06,2.053066127108695,1.9741374000441283
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,3,4.996056759409839e-06,1.9874744450359005,1.3237862000241876
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,4,4.976740910933586e-06,2.881177138195699,1.6942122000036761
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,5,4.9664845391816925e-06,2.5485455079787624,1.3245840000454336
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,6,4.968946996086743e-06,2.4192229038150277,1.984216200071387
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,7,4.970783265889622e-06,2.47783466640253,1.6428199999500066
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,8,4.977693606633693e-06,1.7130763214310178,1.9327555999625474
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,9,4.984338829672197e-06,1.907729796827868,2.28939970000647
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,10,4.978493052476551e-06,2.9382405100252984,1.907333500101231
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,20,11,4.9984828365268186e-06,2.5955468532661254,1.5931796000804752
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,0,4.999491011403734e-06,0.9405426754362809,2.140027599991299
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,1,4.990556135453517e-06,1.3618479377051858,2.1387291999999434
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,2,4.9973937166214455e-06,1.7026148377314907,1.6592829000437632
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,3,4.9969412430073135e-06,1.5286748880332075,1.571196599979885
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,4,4.969106612406904e-06,2.1972023639616634,1.6861289999214932
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,5,4.956857992510777e-06,1.8990119892195296,1.267721299896948
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,7,4.985296982340515e-06,1.4379091163421989,1.9001402000430971
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,6,4.982785412721569e-06,1.7995999423327353,2.493803400080651
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,8,4.942643954564119e-06,1.2192076306164492,1.3235563000198454
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,9,4.960189926350722e-06,1.240752698925933,1.3236807000357658
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,11,4.9648865569906775e-06,1.5702895925032863,1.5046205999096856
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,30,10,4.982326572644524e-06,2.1852897224500802,1.7332043999340385
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,4,40,40,1,4.974379862687783e-06,1.2861525615715648,1.9440456999000162
