problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,10,1,4.996515599486884e-06,5.7259142839621395,2.4386337999021634
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,10,0,4.999714292353019e-06,5.136229678906557,22.17887519998476
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,10,2,4.999448719900101e-06,6.803467381568348,3.4294268999947235
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,10,4,4.991576133761555e-06,6.634698714134674,4.193232499994338
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,10,5,4.995408744434826e-06,6.965046305063911,2.3010288000805303
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,10,7,4.997181804355932e-06,7.530999852954377,2.200494799995795
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,10,8,4.9990640036412515e-06,6.146271399270419,2.1673428000649437
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,10,6,4.998321401217254e-06,6.695352721973435,7.111605099984445
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,10,9,4.995853032596642e-06,5.738522643930053,3.1882214000215754
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,10,11,4.99725229019532e-06,6.493157186325486,1.7270715999184176
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,10,10,4.99859652336454e-06,7.022497551854007,7.85037680005189
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,10,3,4.997167707188055e-06,7.0287114547774845,24.61272380000446
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,20,0,4.999833890906302e-06,3.2252134460549153,12.397232300019823
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,20,1,4.997159521735739e-06,3.179363686782721,12.277280999929644
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,20,2,4.996658844902413e-06,3.463681859973337,11.852117600035854
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,20,6,4.951652044837829e-06,3.0015551399965426,7.96693650004454
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,20,5,4.997551513952203e-06,3.495551708457758,11.275674700038508
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,20,7,4.997350970370462e-06,3.981218447974759,12.167736700037494
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,20,8,4.99708312418079e-06,3.5307093026437975,5.793391200015321
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,20,3,4.979507593816379e-06,3.3873597742710557,22.856777200009674
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,20,9,4.996757525077555e-06,2.530771135481987,11.65323939989321
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,20,4,4.960085789207369e-06,3.622045988296172,24.067219299962744
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,20,10,4.999309112463379e-06,3.931479168020654,7.260079299914651
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,20,11,4.994707524019759e-06,3.3259589370673446,8.10299559996929
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,30,2,4.991181867808336e-06,1.7957336805739519,6.5781984000932425
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,30,5,4.997998075850774e-06,1.9413490616697815,7.754478299990296
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,30,6,4.983592134522041e-06,1.8682279008359095,5.804523800034076
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,30,4,4.994179107598029e-06,2.009603041357452,15.28923080000095
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,30,9,4.998726581106894e-06,1.3638524400655367,6.622463000006974
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,30,0,4.990038178220857e-06,1.9859941866208257,18.34437990002334
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,30,7,4.998908934794599e-06,1.9652916774533802,11.552626800024882
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,30,1,4.993375114281662e-06,1.5099660663180032,17.87559259997215
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,30,10,4.998524218535749e-06,1.5508749887404196,7.908666100003757
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,30,8,4.996606548957061e-06,2.0067453140776434,13.391581999952905
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,30,3,4.995438757759985e-06,1.9400541740627129,21.239323100075126
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,30,11,4.998626081942348e-06,1.709104173983403,8.649257200071588
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,40,1,4.989609806216322e-06,0.8159135826013654,10.035248000058345
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,40,4,4.998625627194997e-06,1.0689288760077358,8.575031099957414
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,40,0,4.977975549991243e-06,0.9418353006407281,11.151579299941659
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,40,2,4.953902589477366e-06,0.9741297359911543,10.580500400043093
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,40,6,4.977041044185171e-06,1.0913091640076658,9.68127080006525
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,4,40,40,7,4.999048542231321e-06,0.9714181356639335,9.677489600027911
