problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,0,3.7251957110129297e-06,975.2703857421875,2.1998781000002054
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,1,9.522836990072392e-06,711.7363891601562,2.130241199993179
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,2,5.389384568843525e-06,1022.1123046875,2.357102699999814
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,0,8.623457688372582e-05,318.80804443359375,3.204807100002654
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,1,0.00010180682875216007,328.7521667480469,3.2771608000039123
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,2,6.0788734117522836e-05,318.0428161621094,3.5498735000001034
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,50,0,0.00022354666725732386,105.85365295410156,3.4637675999983912
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,50,1,0.00024296448100358248,115.61734008789062,3.0884473000041908
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,50,2,0.00027746957493945956,118.76317596435547,3.604266900001676
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,100,0,0.0001919076166814193,50.07313919067383,3.8171741999976803
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,100,1,0.0002755343448370695,67.7359390258789,3.7216444999939995
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,100,2,0.0003258860087953508,69.23357391357422,3.9756717999989633
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,200,0,0.00031375608523376286,52.805023193359375,4.331081299998914
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,200,1,0.00019556639017537236,42.45929718017578,4.348586699998123
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,200,2,0.00027270748978480697,49.27158737182617,4.364133399998536
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,500,0,0.0002007436123676598,36.36946487426758,5.616303500006325
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,500,1,0.0004142683756072074,53.82678985595703,5.827623300006962
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,500,2,0.00031223255791701376,45.61834716796875,6.044782400000258
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,0,1.0931074029940646e-05,756.181884765625,2.378300600001239
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,1,7.404378266073763e-06,792.0895385742188,2.7035249000036856
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,10,2,6.598159870918607e-06,879.9931030273438,2.481022699997993
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,0,4.918491322314367e-05,340.17840576171875,2.4431721000000834
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,1,5.31940495420713e-05,331.0569152832031,2.6132808000111254
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,20,2,5.7320597989019006e-05,262.353515625,2.5877997999923537
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,50,0,0.00016607735597062856,91.5210189819336,2.436625600006664
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,50,1,0.0002364169486099854,114.44245147705078,2.4174697999987984
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,50,2,0.0002209792291978374,110.68134307861328,2.4051388000079896
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,100,0,0.0002447896986268461,58.43791961669922,2.8023203000047943
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,100,1,0.00021369483147282153,67.1177749633789,2.7937551000068197
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,100,2,0.00024544302141293883,61.004676818847656,2.708375700007309
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,200,0,0.00022677070228382945,46.257972717285156,3.0651017999916803
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,200,1,0.00022037950111553073,46.22650909423828,3.040851700003259
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,200,2,0.00021274764731060714,44.502647399902344,3.0625888999929884
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,500,0,0.00030694479937665164,45.52124786376953,4.647809999994934
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,500,1,0.0002924928267020732,46.01996994018555,4.132510399998864
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,4,40,500,2,0.0002724865626078099,42.52808380126953,4.17535959999077
