problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,0,4.857556632487103e-06,16.449552080872497,6.586392499972135
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,1,4.597338829626096e-06,12.939094178628588,6.898233100015204
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,2,4.872319095738931e-06,13.952311081289759,6.950813899980858
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,4,4.752117547468515e-06,15.730171459868975,7.542558300017845
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,3,4.890763193543535e-06,11.93486682114886,8.482152800017502
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,8,4.925037046632497e-06,14.090559629687153,7.151773100020364
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,7,4.9140307964989915e-06,15.32829998527056,8.104077299998607
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,10,4.998672920919489e-06,13.23623362989733,7.738804200023878
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,5,4.7504659050900955e-06,16.956184620399846,8.691697099944577
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,6,4.862949481321266e-06,14.539814213011132,8.84070989995962
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,9,4.959392299497267e-06,12.084923678944032,9.488598599971738
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,10,11,4.9563068387215026e-06,12.583536314522616,9.969399800000247
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,1,4.998884833185002e-06,4.691197038746352,11.440319899993483
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,0,4.8337724365410395e-06,6.698953035533121,13.503312700020615
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,10,100,20,2,4.884508598479442e-06,6.065779290414194,13.715205800021067
