problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,10,0,1.216074906551512e-05,0.4393441677093506,88.05431960010901
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,10,1,1.7220630979863927e-05,0.38687780499458313,85.47895330004394
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,10,2,1.8683045709622093e-05,0.4648306965827942,90.85830290010199
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,10,3,7.736782208667137e-06,0.9819132089614868,88.99951529991813
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,10,5,1.077702472684905e-05,0.6070103645324707,89.77462180005386
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,10,4,1.8329323211219162e-05,0.4093250632286072,93.96010169992223
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,10,6,7.95218329585623e-06,0.4863783121109009,92.47685660002753
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,10,7,7.855205694795586e-06,0.4757036864757538,90.59716310002841
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,10,8,8.427209650108125e-06,0.47639891505241394,89.69601640012115
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,10,9,1.861131750047207e-05,0.4721941649913788,94.12754940008745
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,10,11,1.0074073543364648e-05,0.5237321257591248,90.42203769995831
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,10,10,1.588712439115625e-05,0.49564725160598755,91.96048059989698
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,20,0,1.4473853298113681e-05,0.1934199184179306,92.05551850004122
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,20,1,6.116409622336505e-06,0.2038363814353943,98.66506589995697
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,20,2,1.1550569979590364e-05,0.31435510516166687,95.46099240006879
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,20,3,1.5370655091828667e-05,0.3194291293621063,100.21885250019841
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,20,5,1.1605696272454225e-05,0.25846612453460693,100.60737379989587
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,20,4,5.64165020477958e-06,0.20913243293762207,103.7417222999502
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,20,6,1.5158107999013737e-05,0.25473299622535706,100.7286274000071
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,20,7,1.6612153558526188e-05,0.1934376060962677,106.9051419000607
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,20,9,2.1069743525004014e-05,0.3194614350795746,102.16459010005929
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,20,8,1.5821247870917432e-05,0.3499891757965088,107.38439229992218
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,20,10,1.9791988961515017e-05,0.3075159192085266,113.23716140002944
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,20,11,1.8788070519804023e-05,0.3014627993106842,111.93093999987468
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,30,0,2.3467946448363364e-05,0.13429947197437286,108.77643199986778
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,30,1,1.905901444843039e-05,0.1335648000240326,113.7640086999163
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,30,2,3.398290209588595e-05,0.1529024988412857,104.74918909999542
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,30,4,1.2872581464762334e-05,0.16624441742897034,101.68200149992481
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,30,3,1.9690020053531043e-05,0.149780735373497,112.42360750003718
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,30,5,1.654225889069494e-05,0.17252348363399506,110.16876129992306
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,30,6,2.6036215786007233e-05,0.13651259243488312,117.8359686001204
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,30,7,1.5397736206068657e-05,0.13849104940891266,118.92227349989116
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,30,8,1.9276751118013635e-05,0.1571178138256073,104.95625569997355
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,30,10,1.901279392768629e-05,0.18123795092105865,98.27438169997185
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,30,9,1.952382990566548e-05,0.17624330520629883,112.01734189991839
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,30,11,1.978891305043362e-05,0.15153516829013824,101.8012572999578
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,40,0,1.3968867278890684e-05,0.10830765962600708,120.5931323999539
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,40,1,2.1348416339606047e-05,0.10600792616605759,117.63363129994832
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,40,2,2.243778908450622e-05,0.09332704544067383,125.11639910005033
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,40,3,1.5015987628430594e-05,0.09630541503429413,122.66171930008568
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,40,4,2.6044384867418557e-05,0.12369627505540848,109.38388079986908
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,40,5,1.4353528058563825e-05,0.11208750307559967,109.994302400155
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,40,6,2.505263182683848e-05,0.1078873723745346,120.3688553001266
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,40,7,1.9950759451603517e-05,0.10963091254234314,109.5595323999878
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,40,8,1.1822065062006004e-05,0.10433456301689148,119.33139080018736
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,40,9,1.1863711733894888e-05,0.1076696515083313,117.88503479980864
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,40,10,1.3319074241735507e-05,0.13369016349315643,123.56114639993757
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,40,11,1.81089617399266e-05,0.12516440451145172,124.92922569997609
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,50,1,8.317698302562349e-06,0.07184767723083496,119.20700960000977
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,50,0,1.1977101166849025e-05,0.09759386628866196,123.02308489987627
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,50,3,2.3715381757938303e-05,0.07776417583227158,114.82821259996854
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,50,2,3.2165247830562294e-05,0.07319134473800659,127.48991220002063
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,50,5,1.9688737666001543e-05,0.07235778868198395,125.80679350020364
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,50,4,2.2773394448449835e-05,0.08658678829669952,129.79642320005223
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,50,6,2.5826133423834108e-05,0.08883936703205109,132.76006249990314
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,50,7,2.1112025933689438e-05,0.08573920279741287,138.04083489999175
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,50,8,2.1900837964494713e-05,0.08710328489542007,119.81768299988471
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,50,9,2.7208423489355482e-05,0.08884993940591812,123.84511730005033
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,50,10,2.281569322803989e-05,0.10117674618959427,116.85913780005649
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,50,11,2.4829587346175686e-05,0.09616931527853012,134.9569674001541
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,60,0,1.2584805517690256e-05,0.08438050001859665,153.74074809998274
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,60,1,2.4690880309208296e-05,0.059891752898693085,154.90321110002697
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,60,2,2.791732913465239e-05,0.05987375229597092,149.30727340001613
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,60,5,2.667031549208332e-05,0.06049565225839615,145.28869339986704
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,60,6,2.5937215468729846e-05,0.0712597668170929,153.09004689985886
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,60,7,2.1977541109663434e-05,0.0646262839436531,144.75863749999553
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,60,8,1.1707636986102443e-05,0.06408221274614334,141.91090979985893
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,60,3,2.114442213496659e-05,0.05961867794394493,177.55378999980167
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,10,100,60,4,2.2737905965186656e-05,0.07267852127552032,168.94751540012658
