problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,1,4.989653916709358e-06,1.7697935969864436,3.7854159000562504
nsb_affine_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,2,4.957141300110379e-06,0.9856809097998327,6.182398800039664
nsb_affine_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,4,4.769212409883039e-06,1.9835431752536161,3.37657369999215
nsb_affine_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,3,4.828082637686748e-06,0.8002255504800143,5.121335800038651
nsb_affine_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,5,4.77747198601719e-06,1.002092633786892,2.9774925999809057
nsb_affine_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,0,4.787955276697176e-06,1.9135383855254162,23.398442500038072
nsb_affine_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,7,4.986796284356387e-06,0.7627779528364971,3.4319794999901205
nsb_affine_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,6,4.8540555326326285e-06,2.204942239867859,7.544466799939983
nsb_affine_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,10,4.949135018250672e-06,1.3864720013523937,2.798542800010182
nsb_affine_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,8,4.989007265976397e-06,1.5224686755749195,5.49858870008029
nsb_affine_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,11,4.893106051895302e-06,0.3597570787112445,4.117909300024621
nsb_affine_d8,p,jax,mlp_10x100_tanh,tanh,10,100,10,9,4.951310529577313e-06,2.0214648341384622,5.94448090007063
nsb_affine_d8,p,jax,mlp_10x100_tanh,tanh,10,100,20,2,4.8446108849020675e-06,1.7157859270650655,2.8578096000710502
nsb_affine_d8,p,jax,mlp_10x100_tanh,tanh,10,100,20,1,4.867683401243994e-06,3.13700196487061,4.442321000038646
nsb_affine_d8,p,jax,mlp_10x100_tanh,tanh,10,100,20,4,4.710221219283994e-06,0.8310672931971849,3.513988899998367
nsb_affine_d8,p,jax,mlp_10x100_tanh,tanh,10,100,20,6,4.975217507308116e-06,1.0953789327373913,4.175599799957126
nsb_affine_d8,p,jax,mlp_10x100_tanh,tanh,10,100,20,0,4.943361091136467e-06,1.4064094789004327,8.050531200016849
