problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,10,0,4.995034032617696e-06,0.3184313178062439,22.8324953999836
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,10,1,4.969277597410837e-06,0.2887134253978729,20.0678757999558
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,10,2,4.968492703483207e-06,0.3231735825538635,25.899977100081742
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,10,3,3.464831388555467e-05,0.3634132146835327,27.910122700035572
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,10,4,1.4323940376925748e-05,0.3585018217563629,28.632490599993616
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,10,5,2.636990393511951e-05,0.3821204900741577,27.994854500051588
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,10,6,5.734427304560086e-06,0.3157310485839844,28.388742099981755
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,10,7,4.993419224774698e-06,0.3392702639102936,27.111867300001904
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,10,8,1.3161639799363911e-05,0.361905962228775,28.49468329991214
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,10,9,1.7256461433134973e-05,0.36648210883140564,28.305810200050473
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,10,10,4.999979410058586e-06,0.38796868920326233,26.86877420009114
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,10,11,6.371953986672452e-06,0.36637967824935913,29.961927900090814
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,20,0,3.1064104405231774e-05,0.2711449861526489,33.95144209987484
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,20,1,3.434055543038994e-05,0.2639474868774414,33.364666800014675
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,20,2,2.18195218621986e-05,0.2939295470714569,34.20692249992862
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,20,3,5.143948510522023e-05,0.22878901660442352,34.10629660007544
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,20,4,3.383195144124329e-05,0.2988462746143341,34.90644080005586
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,20,5,2.5278826797148213e-05,0.300658255815506,34.31186389992945
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,20,6,3.825332532869652e-05,0.2994421720504761,34.1450847000815
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,20,7,1.9961311409133486e-05,0.2889307737350464,33.70810819999315
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,20,8,1.9399960365262814e-05,0.28619715571403503,35.581232300028205
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,20,9,2.318398401257582e-05,0.3959196209907532,34.78497299994342
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,20,10,2.9603595976368524e-05,0.306710422039032,35.63953940011561
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,20,11,1.5553827324765734e-05,0.27877262234687805,36.17648470005952
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,30,0,2.9578979592770338e-05,0.24773350358009338,41.943276800215244
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,30,1,3.324780846014619e-05,0.22789470851421356,43.54922839999199
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,30,2,4.3385425669839606e-05,0.24352404475212097,42.608728599967435
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,30,3,6.705104897264391e-05,0.2140890210866928,42.37684719986282
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,30,4,5.1215942221460864e-05,0.2655918598175049,42.762873500119895
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,30,5,3.4137028706027195e-05,0.249261274933815,42.245341199915856
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,30,7,3.832383663393557e-05,0.2169349640607834,41.97602889989503
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,30,6,3.404431845410727e-05,0.2550583779811859,43.8195640000049
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,30,8,2.484937067492865e-05,0.23245292901992798,43.19265939993784
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,30,10,4.44688594143372e-05,0.28279781341552734,41.83367120008916
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,30,9,3.442739398451522e-05,0.2687411606311798,43.07336600008421
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,30,11,2.2873020498082042e-05,0.2510833740234375,40.97114810021594
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,40,0,2.658533412613906e-05,0.2153361588716507,40.904963300097734
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,40,1,4.585904025589116e-05,0.2074371874332428,40.92808169987984
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,40,2,5.707460150006227e-05,0.22623808681964874,40.892426299862564
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,40,3,6.345905421767384e-05,0.20618608593940735,41.94057299988344
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,40,4,4.5435666834237054e-05,0.24590489268302917,41.143369199940935
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,40,5,3.9242018829099834e-05,0.21247273683547974,40.73405149998143
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,40,6,3.920244489563629e-05,0.2198498398065567,42.20548849995248
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,40,7,3.8629263144684955e-05,0.2063913494348526,40.12530029984191
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,40,8,4.696212999988347e-05,0.23105061054229736,40.83940050005913
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,40,9,4.770345913129859e-05,0.22256067395210266,40.48677249997854
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,40,10,5.276817682897672e-05,0.253500372171402,39.90871860017069
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,40,11,5.8509616792434826e-05,0.24604633450508118,43.78458620002493
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,50,0,3.8592588680330664e-05,0.21270203590393066,55.89104429981671
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,50,1,4.059004277223721e-05,0.196320042014122,56.43529269983992
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,50,3,6.30124268354848e-05,0.1924867033958435,55.174015699885786
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,50,2,6.270254380069673e-05,0.21538066864013672,57.84944449993782
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,50,4,4.819603418582119e-05,0.21179109811782837,54.97699790005572
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,50,5,4.9880654842127115e-05,0.20587071776390076,56.50505130016245
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,50,6,3.892043969244696e-05,0.2020975649356842,55.22248600004241
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,50,7,2.5918081519193947e-05,0.1848524808883667,60.23910630005412
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,50,8,4.159212767262943e-05,0.2194773107767105,58.01651720004156
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,50,9,5.2004506869707257e-05,0.18728680908679962,57.65419420017861
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,50,10,5.1003076805500314e-05,0.2158631980419159,57.530384900048375
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,50,11,4.2437430238351226e-05,0.22762782871723175,60.00797259993851
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,60,0,4.1301700548501685e-05,0.1688728779554367,80.84432639996521
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,60,1,5.301502824295312e-05,0.168938547372818,80.98134689987637
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,60,2,6.367262540152296e-05,0.1798454225063324,80.09195989998989
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,60,3,6.707405555061996e-05,0.1931869089603424,85.62258040020242
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,60,4,5.312149369274266e-05,0.1841372549533844,85.04013599990867
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,60,5,3.699881926877424e-05,0.1904478371143341,83.04896439984441
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,60,6,3.886997001245618e-05,0.17250147461891174,82.0520175001584
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,60,7,2.8094451408833265e-05,0.16312287747859955,81.0943772001192
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,60,8,6.902337190695107e-05,0.20011061429977417,84.83226029993966
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,60,9,5.338797564036213e-05,0.18277031183242798,82.73665659991093
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,60,11,3.8844020309625193e-05,0.194426029920578,76.99913470004685
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,70,0,3.6793466279050335e-05,0.10914193093776703,74.17940860008821
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,70,1,6.882345041958615e-05,0.15281032025814056,71.8965879001189
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,60,10,5.2987077651778236e-05,0.20288142561912537,84.3508314001374
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,70,2,8.549015183234587e-05,0.17045755684375763,79.57953989994712
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,70,6,3.214466414647177e-05,0.1651267260313034,75.15927599999122
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,70,5,5.324802623363212e-05,0.18656791746616364,76.61446189996786
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,70,4,5.334898014552891e-05,0.17130233347415924,79.86965009989217
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,70,3,7.030146662145853e-05,0.16162022948265076,80.82943719998002
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,70,7,3.1517618481302634e-05,0.15021000802516937,78.50065629999153
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,70,9,6.746418512193486e-05,0.15203431248664856,71.48490200005472
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,70,8,4.745964542962611e-05,0.18284651637077332,85.24542440008372
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,70,11,7.636057125637308e-05,0.18061791360378265,80.54645100003108
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,80,1,4.0287995943799615e-05,0.14708605408668518,85.01533819991164
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,70,10,5.275844159768894e-05,0.1865336000919342,88.17400160012767
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,4,40,80,0,3.3860305848065764e-05,0.1209884062409401,96.10211320011877
