problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,0,0.0012385568115860224,0.2757541239261627,0.4907255000434816
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,1,0.0016287083271890879,0.32924869656562805,0.4356255999300629
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,10,2,0.0017000364605337381,0.46627891063690186,0.4536633000243455
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,0,0.001903989352285862,0.24989104270935059,0.46696759993210435
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,1,0.001695798011496663,0.21964190900325775,0.47333770012483
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,20,2,0.001996789826080203,0.3272274136543274,0.4596180999651551
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,30,0,0.0021467774640768766,0.18489570915699005,0.46512080007232726
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,30,1,0.0021328553557395935,0.19077357649803162,0.4910812000744045
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,30,2,0.002459493698552251,0.1704692393541336,0.4688241998665035
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,40,0,0.002350000897422433,0.13894134759902954,0.47195799998007715
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,40,1,0.002553139580413699,0.11608891189098358,0.45809929980896413
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,40,2,0.002888526301831007,0.13055968284606934,0.47254809993319213
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,50,0,0.002392005641013384,0.12291470915079117,0.48215359984897077
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,50,1,0.002717495197430253,0.124143585562706,0.4549589999951422
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,50,2,0.003017707960680127,0.1312452256679535,0.7831544000655413
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,60,0,0.002714842790737748,0.10752708464860916,0.8280814997851849
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,60,1,0.002631906419992447,0.08141729980707169,0.7838713999371976
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,60,2,0.003260792465880513,0.08950357884168625,0.9811800001189113
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,70,0,0.0031554359011352062,0.0858347937464714,0.8430158998817205
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,70,1,0.0025673117488622665,0.06986448168754578,0.8551719000097364
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,70,2,0.003352409927174449,0.07982596755027771,0.7987293000333011
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,80,0,0.0027759235817939043,0.06332827359437943,0.8205009000375867
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,80,1,0.003119655651971698,0.08343490213155746,0.8024444000329822
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,80,2,0.0031375407706946135,0.06838259845972061,0.8109646001830697
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,90,0,0.0034187508281320333,0.07454967498779297,0.8492046999745071
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,90,1,0.0032361196354031563,0.07259341329336166,0.8755441000685096
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,90,2,0.0032638125121593475,0.060363445430994034,0.8607497999910265
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,100,0,0.0035704355686903,0.05977919325232506,0.9432681000325829
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,100,1,0.0032228592317551374,0.047097597271203995,0.839216599939391
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,100,2,0.0035349875688552856,0.06538154184818268,0.8843545001000166
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,200,0,0.004121895879507065,0.03836742416024208,1.1209136999677867
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,10,100,200,1,0.0035663414746522903,0.03243056312203407,1.1085493999999017
