problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,0,0.0012295134365558624,0.24502813816070557,0.43281070003286004
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,1,0.0016598450019955635,0.2550560235977173,0.3941375999711454
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,2,0.0017733995337039232,0.25357604026794434,0.41267909994348884
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,0,0.0016835816204547882,0.227518230676651,0.43172869994305074
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,1,0.0016534586902707815,0.2559923529624939,0.43089339998550713
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,2,0.0022485193330794573,0.27237826585769653,0.4478426999412477
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,30,0,0.0017205345211550593,0.20974621176719666,0.42492360016331077
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,30,1,0.0020916920620948076,0.22720009088516235,0.44494340009987354
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,30,2,0.0038982031401246786,0.2221618890762329,0.4571211999282241
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,40,0,0.0024731375742703676,0.20617100596427917,0.43395800003781915
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,40,1,0.0021234783343970776,0.19837364554405212,0.43418710003606975
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,40,2,0.0025468007661402225,0.21740803122520447,0.4147244000341743
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,50,0,0.0020374744199216366,0.19654491543769836,0.44869910017587245
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,50,1,0.002301718108355999,0.1956733614206314,0.4424579998012632
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,50,2,0.002384394872933626,0.2242940068244934,0.4614186999388039
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,60,0,0.003565530525520444,0.20972514152526855,0.7071670999284834
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,60,1,0.0020710763055831194,0.214464470744133,0.7286521999631077
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,60,2,0.0024097885470837355,0.1989455372095108,0.7561244999524206
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,70,0,0.0019996229093521833,0.2193673998117447,0.7352203999180347
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,70,1,0.0020775054581463337,0.1938026249408722,0.7514335000887513
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,70,2,0.0025157597847282887,0.2033247947692871,0.7402089999523014
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,80,0,0.0020896545611321926,0.20382018387317657,0.7181124000344425
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,80,1,0.0023946580477058887,0.18590162694454193,0.7143659999128431
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,80,2,0.0024184775538742542,0.18876288831233978,0.693129199789837
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,90,0,0.0020553080830723047,0.2208939790725708,0.8193194000050426
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,90,1,0.0024082474410533905,0.19070182740688324,0.7207504999823868
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,90,2,0.002233854727819562,0.1957259625196457,0.7076626000925899
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,100,0,0.0022980705834925175,0.21744030714035034,0.7536996998824179
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,100,1,0.002592739649116993,0.18829232454299927,0.7509566000662744
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,100,2,0.0025270231999456882,0.19830791652202606,0.7380487998016179
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,200,0,0.0025412291288375854,0.16008402407169342,0.8641741999890655
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,200,1,0.0026916246861219406,0.1698320508003235,1.1032378999516368
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,200,2,0.0027697233017534018,0.16600076854228973,0.815251599997282
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,300,0,0.002855720929801464,0.15216994285583496,0.8994326000101864
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,300,1,0.0026247345376759768,0.14640860259532928,0.8635368999093771
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,300,2,0.0028965449891984463,0.15896537899971008,0.8837949000298977
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,400,0,0.002606427762657404,0.13972420990467072,1.0811308999545872
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,400,1,0.0026371818967163563,0.12817080318927765,1.2453938000835478
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,400,2,0.002853150712326169,0.12225932627916336,0.796152199851349
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,500,0,0.0028291987255215645,0.10842464864253998,0.876030300045386
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,500,1,0.0027703559026122093,0.11492235213518143,0.7692298998590559
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,10,100,500,2,0.0029385308735072613,0.1285189837217331,0.7047703000716865
