problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,0,4.66227493234328e-06,1.6164021439601997,7.181622300005984
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,1,4.632518994185375e-06,0.9888609709461297,6.316578900034074
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,2,4.931970124744112e-06,1.8635076593528432,5.554021299991291
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,3,4.919033017358743e-06,0.18803273285550884,4.881073799973819
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,4,4.900922704109689e-06,2.8646486561014473,6.144376100040972
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,5,4.856132818531478e-06,1.6438127701498269,5.991558000037912
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,7,4.95807034894824e-06,1.5811209253153946,3.1567898000357673
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,8,4.999761586077511e-06,0.5167881772141468,2.39407849998679
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,6,4.942797659168718e-06,0.6471989811937476,7.112306900031399
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,10,4.988578893971862e-06,2.4643033973678614,3.705040499975439
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,9,4.852856818615692e-06,1.3745056694341713,4.6926917000091635
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,11,4.941634415445151e-06,1.801633941947682,4.122753599949647
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,1,4.914626060781302e-06,1.965533780950029,4.74482010002248
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,0,4.847291165788192e-06,1.5716345291669733,6.406052600010298
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,5,4.97060273119132e-06,2.4070902098697275,5.515385399980005
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,2,4.6657332859467715e-06,1.3734533070809722,7.295261699997354
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,3,4.803055162483361e-06,1.8581394697018088,6.79022540000733
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,4,4.916812486044364e-06,3.15616797310444,8.140513799968176
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,6,4.808754511032021e-06,1.1607941364355427,6.578318900021259
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,7,4.765438916365383e-06,0.9756039592601055,5.352077600022312
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,8,4.657491899706656e-06,1.5600441034334955,5.911883900000248
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,11,4.756939233629964e-06,2.786442504680713,5.887892800034024
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,10,4.888398507318925e-06,1.4863558706954034,6.976702899963129
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,9,4.5420570131682325e-06,1.2702295818388218,7.701072200026829
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,0,4.803694537258707e-06,1.9964125009935383,8.792374499957077
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,3,4.900133717455901e-06,2.0015087930734787,7.062513799988665
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,1,4.987890861229971e-06,2.0333592172056996,8.368006600008812
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,2,4.523220923147164e-06,2.802861707988775,9.447137899987865
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,4,4.98590497954865e-06,0.6773752797622519,8.402171800029464
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,5,4.894287030765554e-06,2.73247960140881,8.417531300045084
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,8,4.986702151654754e-06,1.8372012141612475,5.793903000012506
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,7,4.998203166906023e-06,2.3619062582684696,8.431788599991705
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,6,4.7982935029722285e-06,1.125500056578321,9.947603700042237
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,10,4.9963282435783185e-06,1.660776629411277,8.678460899973288
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,9,4.878590516455006e-06,1.2669266579732374,9.199073800002225
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,11,4.9408545237383805e-06,1.200742608695756,7.82710410002619
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,1,4.937166522722691e-06,1.522052443513562,9.278112999978475
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,0,4.469005489227129e-06,1.0441457186348897,10.526008000015281
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,3,4.95110361953266e-06,2.028006949732484,7.632439500011969
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,2,4.969409928889945e-06,1.517594663111076,9.409275499987416
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,5,4.775321940542199e-06,1.5876742387188982,10.67375479999464
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,4,4.946700300934026e-06,1.4514642452758448,11.871254800003953
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,8,4.798189820576226e-06,2.207886349260165,8.015382300014608
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,7,4.866715244133957e-06,1.3461110593748757,9.565751899965107
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,6,4.95688027513097e-06,1.613339850466907,11.447786599979736
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,10,4.904614797851536e-06,2.025724596405056,9.795057699957397
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,9,4.9954310270550195e-06,0.6981670801161857,10.269007800030522
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,11,4.987246938981116e-06,0.922641748512269,8.647257299977355
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,3,4.963105766364606e-06,1.8527138555054061,8.972616499988362
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,0,4.978814104106277e-06,0.2515233336846001,11.616844400006812
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,2,4.791298579220893e-06,1.9323597312233491,11.252826899988577
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,1,4.929472197545692e-06,1.6903977052883767,12.529549500031862
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,8,4.986107342119794e-06,2.6262493846113704,8.004704100021627
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,7,4.957433702656999e-06,1.3560394834740312,9.71005230001174
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,4,4.992697540728841e-06,1.2049681589250094,12.708895899995696
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,6,4.959422312822426e-06,1.6772584475178025,12.884623599995393
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,9,4.957445071340771e-06,1.0417121876398798,10.855877799971495
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,11,4.985589384887135e-06,1.0231079481736538,10.121263600012753
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,10,4.934403023071354e-06,0.4112717199847112,10.87109450000571
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,5,4.672888280765619e-06,0.9768121249765381,14.077889400010463
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,3,4.956393695465522e-06,1.338256273406779,9.38840870000422
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,0,4.998883014195599e-06,0.9880674903534843,12.779923500027508
