problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,0,1.3569252587330993e-05,0.30259469151496887,245.92851169989444
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,1,2.8581351216416806e-05,0.3051428198814392,234.69134059990756
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,2,3.98048032366205e-05,0.32649704813957214,203.0538188999053
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,3,3.6824214475927874e-05,0.369203120470047,203.13156320014969
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,4,6.140366895124316e-05,0.34810003638267517,170.15976490010507
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,9,4.998220447305357e-06,0.3586321771144867,40.257606300059706
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,7,4.983236067346297e-06,0.3304325342178345,48.799714300083
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,5,5.013203463022364e-06,0.32211920619010925,92.96011799992993
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,6,2.173203210986685e-05,0.30862751603126526,65.99748819996603
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,8,6.281386959017254e-06,0.38868409395217896,56.5907920000609
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,11,4.9980062613030896e-06,0.36256691813468933,40.967927099904045
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,10,2.9430395443341695e-05,0.4077429175376892,48.570037099998444
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,0,3.96117648051586e-05,0.2257618010044098,45.086091300006956
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,1,2.5248142264899798e-05,0.2565745413303375,45.32997799990699
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,3,4.056880788994022e-05,0.28583553433418274,41.98707939987071
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,2,4.128514410695061e-05,0.2913682460784912,43.745239099953324
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,7,2.0216379198245704e-05,0.27688246965408325,40.791507800109684
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,5,3.971412297687493e-05,0.2527206540107727,45.54299629991874
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,4,6.775985093554482e-05,0.29791057109832764,46.57742320001125
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,6,5.549220077227801e-05,0.26494356989860535,43.349218300078064
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,8,1.6684063666616566e-05,0.30193689465522766,42.33069460000843
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,9,2.55768682109192e-05,0.32387271523475647,41.939702400006354
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,10,4.3486186768859625e-05,0.28307247161865234,43.77260849997401
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,11,2.0638124624383636e-05,0.2901729643344879,43.31082629994489
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,1,6.0479887906694785e-05,0.22273437678813934,45.03718809993006
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,0,5.3326148190535605e-05,0.20949295163154602,47.33576490008272
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,2,4.5886452426202595e-05,0.2476387470960617,44.849920300068334
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,3,5.853818584000692e-05,0.2675798535346985,38.29882330005057
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,5,3.846786785288714e-05,0.2443699985742569,36.64480769983493
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,4,6.913115066708997e-05,0.2868838310241699,43.16830569994636
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,6,4.975122647010721e-05,0.23719699680805206,37.12802770012058
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,7,2.7394091375754215e-05,0.2499236911535263,35.41430229996331
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,10,4.5517161197494715e-05,0.26008352637290955,34.92493589990772
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,11,2.9495520720956847e-05,0.2627563774585724,35.22775349998847
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,8,3.5065120755461976e-05,0.248916357755661,38.302651799982414
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,9,2.8847714929725043e-05,0.29446983337402344,39.2051450998988
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,0,5.2676507038995624e-05,0.1861838847398758,36.795119300018996
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,1,4.5868888264521956e-05,0.20150019228458405,36.961955999955535
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,2,5.06943506479729e-05,0.21966567635536194,37.398570500081405
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,3,7.34297645976767e-05,0.2142534852027893,38.61856840015389
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,4,6.712189497193322e-05,0.23242901265621185,38.10368429985829
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,7,3.703714901348576e-05,0.24943523108959198,35.45752590009943
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,5,4.4741751480614766e-05,0.2099934071302414,41.14559209998697
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,6,6.414711970137432e-05,0.22447149455547333,39.589788399869576
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,8,3.6335022741695866e-05,0.22155582904815674,36.97115750005469
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,10,4.710338544100523e-05,0.24906373023986816,38.92393880011514
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,9,4.799234739039093e-05,0.22891902923583984,40.411032299976796
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,11,4.603552588378079e-05,0.22924867272377014,37.0420304001309
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,50,1,4.255940075381659e-05,0.19293946027755737,40.496310600079596
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,50,0,3.432902667555027e-05,0.19290278851985931,41.27561430004425
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,4,40,50,4,5.239266829448752e-05,0.1909797638654709,41.85475379996933
