problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,0,0.0018420286942273378,1.0507701635360718,0.19022370013408363
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,1,0.0021107892971485853,1.0510631799697876,0.17412199988029897
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,10,2,0.002525131218135357,1.0841120481491089,0.17886350001208484
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,0,0.0024014392402023077,0.1415366232395172,0.2058554000686854
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,1,0.0022648072335869074,0.09909817576408386,0.17986349994316697
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,20,2,0.002946089953184128,0.8147462010383606,0.19922710000537336
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,0,0.002148458268493414,0.09570169448852539,0.19611829984933138
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,1,0.0026510737370699644,0.136291965842247,0.20278850011527538
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,30,2,0.0027595623396337032,0.03674063831567764,0.2066379999741912
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,0,0.002620110521093011,0.030903276056051254,0.19753789994865656
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,1,0.002540959743782878,0.03075772151350975,0.1942322999238968
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,40,2,0.0027347211726009846,0.028643539175391197,0.19745539990253747
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,0,0.002330315299332142,0.027085592970252037,0.18746869987808168
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,1,0.002660154365003109,0.026105791330337524,0.20049289986491203
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,50,2,0.0028837411664426327,0.022821566089987755,0.20626919995993376
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,0,0.0021802878472954035,0.022290313616394997,0.20634049992077053
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,1,0.0024963603354990482,0.036734145134687424,0.20746079995296896
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,60,2,0.002689147600904107,0.027998048812150955,0.20953579992055893
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,70,0,0.002182014985010028,0.02409742772579193,0.24902300001122057
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,70,1,0.002481309697031975,0.03031722828745842,0.2402098998427391
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,70,2,0.0027346275746822357,0.022863255813717842,0.24119840003550053
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,80,0,0.0022867615334689617,0.021147841587662697,0.23477379977703094
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,80,1,0.0025532436557114124,0.0227635707706213,0.2526801999192685
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,80,2,0.0025333273224532604,0.020215775817632675,0.25906559987924993
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,90,0,0.0023391549475491047,0.02422577701508999,0.30027549993246794
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,90,1,0.0024312559980899096,0.020164702087640762,0.2827182998880744
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,90,2,0.0025326109025627375,0.019214032217860222,0.24278239998966455
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,100,0,0.0023231988307088614,0.01963680237531662,0.27125039999373257
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,100,1,0.0024510538205504417,0.020017607137560844,0.2579369000159204
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,100,2,0.002621485386043787,0.019560478627681732,0.31947939982637763
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,200,0,0.002455438021570444,0.018855486065149307,0.3747741999104619
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,200,1,0.0024990877136588097,0.019513390958309174,0.3601405001245439
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,200,2,0.0024231288116425276,0.019759684801101685,0.3798887000884861
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,300,0,0.002408064901828766,0.01888301968574524,0.3549864999949932
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,300,1,0.0025323075242340565,0.01929553970694542,0.34757840004749596
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,300,2,0.002547140698879957,0.01878410018980503,0.376545200124383
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,400,0,0.0023148765321820974,0.0186648927628994,0.40041939984075725
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,400,1,0.0025374460965394974,0.019336847588419914,0.39441150007769465
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,400,2,0.002527075819671154,0.01965426839888096,0.3796524000354111
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,500,0,0.0023111619520932436,0.01851583458483219,0.40515480004251003
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,500,1,0.002449214458465576,0.01918196491897106,0.4115534999873489
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,4,40,500,2,0.0025069040711969137,0.019175808876752853,0.42928060004487634
