problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,0,4.995496510673547e-06,14.633490518027847,1.8157610000343993
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,1,4.991255991626531e-06,13.5158934029967,1.4323983000358567
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,3,4.991703008272452e-06,14.111520385003535,1.7490775999613106
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,7,4.990272827853914e-06,15.300878588133463,1.7952320999465883
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,8,4.997008090867894e-06,14.934940302675288,1.901702299946919
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,4,4.9983350436377805e-06,18.72345848970347,2.6321431000251323
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,6,4.993408765585627e-06,19.465933962649295,2.61590780003462
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,5,4.999691554985475e-06,14.383464689602018,2.634950999985449
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,11,4.999952125217533e-06,15.773816733808554,1.5318775000050664
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,2,4.993954462406691e-06,16.063902638292515,2.887893799925223
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,10,4.991567038814537e-06,16.807372457409084,2.146673900075257
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,10,9,4.992889898858266e-06,15.560782683436264,2.629945300053805
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,1,4.996395091438899e-06,8.511206354197867,2.899614299996756
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,0,4.99748830407043e-06,7.523701554375049,3.680887500056997
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,7,4.997828455088893e-06,7.910203112415346,2.7867700000060722
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,8,4.9999089242191985e-06,9.194787590997189,2.9588450000155717
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,3,4.995858944312204e-06,7.054034310008644,3.4893508999375626
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,2,4.9971495172940195e-06,8.996931798910564,3.9189924000529572
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,10,4.9981304073298816e-06,8.3009068093437,3.428814300103113
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,5,4.99615453009028e-06,8.18494263205392,3.623520299908705
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,4,4.998352324037114e-06,9.745997812146522,3.7807211000472307
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,9,4.99724728797446e-06,8.629379265036047,3.6595957999816164
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,6,4.9962200137088075e-06,8.819257849562575,3.9757990000071004
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,20,11,4.997884389013052e-06,7.613968220633696,4.168187499977648
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,30,2,4.998250005883165e-06,5.490459867398439,4.946383700007573
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,30,4,4.997840278520016e-06,5.744742226943262,4.945989800035022
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,30,5,4.99837051393115e-06,5.23487618781909,4.86608539998997
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,30,3,4.998371878173202e-06,4.469190265340601,5.192925999988802
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,30,1,4.9970931286225095e-06,4.485264809247311,5.7048714000266045
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,30,0,4.9969048632192425e-06,4.362164083765052,6.383703200030141
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,30,8,4.999987140763551e-06,5.484922459749401,5.22717610001564
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,30,7,4.996630195819307e-06,4.9513164702088845,5.568427800084464
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,30,6,4.999244993086904e-06,5.160142042646962,6.436026999959722
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,30,9,4.9987152124231216e-06,4.570889176482794,5.930994299938902
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,40,1,4.998433723812923e-06,2.758463591617733,6.303572400007397
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,30,11,4.9971331463893875e-06,4.791708083109865,6.6091790000209585
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,30,10,4.9994364417216275e-06,5.8243968769190655,6.8651197999715805
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,40,0,4.987868578609778e-06,2.6215203616711267,10.053470200044103
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,40,4,4.997745691071032e-06,3.710163038450172,7.685980700072832
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,40,5,4.99825273436727e-06,3.3962763503747273,7.4151110999519005
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,40,2,4.997450560040306e-06,3.2090764167555172,10.167111800052226
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,40,7,4.99856059832382e-06,3.3081031152321345,8.574789599981159
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,40,10,4.9987515922111925e-06,2.9357643498996913,7.665428999927826
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,40,6,4.999758402846055e-06,2.5066539445182405,9.042427900014445
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,40,8,4.999206339562079e-06,3.576210126384236,8.871128299972042
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,40,3,4.997808900952805e-06,2.5360167651007384,10.263483900111169
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,40,9,4.998219992558006e-06,2.391105503080547,9.225399399991147
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,50,2,4.999481461709365e-06,2.0600232304085124,8.360264800023288
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,50,0,4.998498297936749e-06,1.8860966243077317,9.718738499912433
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,4,40,40,11,4.998088115826249e-06,2.4883928040574195,10.010940000065602
