problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,0,4.964334493706701e-06,0.8554480918502778,1.6699898000224493
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,1,4.9297841542284004e-06,0.9722731429729194,1.2946888000005856
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,3,4.941302449879004e-06,0.7403764397229512,0.6577032000059262
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,2,4.933962372888345e-06,0.7423399594525186,1.2798545000259764
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,4,4.823490144190146e-06,0.8650556410443869,0.7716452000313438
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,5,4.934814114676556e-06,0.8819662304239775,1.1653556000092067
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,6,4.970554982719477e-06,0.8351112828886395,1.2742726000142284
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,7,4.923024789604824e-06,0.8237164170947375,1.6042305000009947
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,9,4.8906958909356035e-06,1.1034519047437448,1.4132897999952547
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,8,4.9939849304792006e-06,0.8480963543717889,1.5082836999790743
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,10,4.973296654497972e-06,0.6567315305708874,1.7970405000378378
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,10,11,4.97222890771809e-06,0.7506910330848119,1.0732573000132106
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,1,4.962685579812387e-06,0.45651384958302743,1.1541054000263102
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,0,4.986027306586038e-06,0.3031572661444441,1.475682299991604
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,3,4.9232153287448455e-06,0.48345348641897884,0.6303147000144236
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,4,4.972545866621658e-06,0.4114923028454098,0.6642224999959581
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,5,4.910390543955145e-06,0.4865934928417683,0.8808672999730334
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,2,4.977742264600238e-06,0.45705745638365447,1.9495039999601431
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,7,4.916144462185912e-06,0.5582021048935981,1.1894670000183396
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,6,4.987422016711207e-06,0.461044521399464,1.8001422999659553
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,8,4.915705630992306e-06,0.6655283299314675,1.3201426000450738
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,10,100,20,9,4.899234681943199e-06,0.6930745501149571,1.0342041000258178
