problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,0,4.84999873151537e-06,9.965444297240774,2.604954299982637
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,1,4.563984475680627e-06,8.108345800378714,2.9360183000098914
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,2,4.958406861987896e-06,7.57961393236493,2.692723100015428
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,4,4.96236907565617e-06,13.320599281547493,2.765367200016044
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,3,4.993413767806487e-06,5.000306933755331,3.152763199992478
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,5,4.7367198021674994e-06,7.901263315390375,3.3411108999862336
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,6,4.986816293239826e-06,7.570813011460606,2.171726899978239
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,7,4.918634203932015e-06,3.0542918669054306,2.3209459999925457
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,8,4.824830739380559e-06,5.526715013863276,2.868922299996484
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,9,4.876226739725098e-06,5.43215928772738,2.05568819999462
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,11,4.965505922882585e-06,8.711312093553564,2.943153300031554
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,10,10,4.994624760001898e-06,10.610485706029289,3.5921533000073396
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,0,4.792877462023171e-06,13.255079106476874,4.219912400003523
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,1,4.823303243028931e-06,10.923784699170962,4.978966300026514
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,3,4.916765192319872e-06,4.79849773367243,4.871314499992877
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,2,4.738854840979911e-06,8.23619385910902,5.4623805999872275
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,4,4.96529810334323e-06,9.178028570620972,4.3841949999914505
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,5,4.930498107569292e-06,10.438375424115174,5.305231800011825
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,7,4.81802408103249e-06,13.62928705418541,4.503641700022854
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,8,4.986814019503072e-06,12.321881210913828,4.881200100004207
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,9,4.923221695207758e-06,5.911369715823509,4.234447800030466
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,6,4.955390522809466e-06,9.232770458379024,6.5094468999886885
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,10,4.994613391318126e-06,13.067230971327772,3.743178800039459
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,20,11,4.978594461135799e-06,6.849121966480324,5.206150999991223
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,0,4.932691354042618e-06,10.733552124572064,5.702902200049721
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,1,4.973678642272716e-06,1.801148603146052,6.344108499994036
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,3,4.461111984710442e-06,4.278158019252661,6.290402799961157
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,2,4.980486664862838e-06,4.85444575441427,8.145025599980727
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,4,4.98396093462361e-06,1.9032822171434254,6.536937600001693
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,6,4.781726602232084e-06,9.184383346147056,6.427648000011686
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,5,4.539495421340689e-06,7.601149318240572,7.875419399992097
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,7,4.9079067139246035e-06,9.439974230794562,6.872220300021581
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,10,4.929396709485445e-06,7.933591340520577,6.244989600032568
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,9,4.886445822194219e-06,9.780803129955586,6.665386600012425
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,8,4.9715235945768654e-06,7.564875030741808,7.184085900022183
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,30,11,4.664253538066987e-06,7.757087548807501,8.13590930000646
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,40,0,4.954453288519289e-06,4.894103818919832,6.825788900023326
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,10,100,40,2,4.8307165343430825e-06,12.70758109891475,7.997801899968181
