problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,0,0.0007493940065614879,294.7328796386719,0.20628860010765493
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,1,0.0007261066930368543,295.4513244628906,0.1967583999503404
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,10,2,0.0005514548975042999,273.66046142578125,0.19493669993244112
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,0,0.002685871906578541,159.2239532470703,0.18983060005120933
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,1,0.0036336977500468493,176.38392639160156,0.1874786999542266
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,20,2,0.0023751812987029552,153.359375,0.20440779998898506
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,0,0.004839360248297453,104.64583587646484,0.20055820001289248
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,1,0.0042540160939097404,110.69184875488281,0.2160819999407977
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,30,2,0.004159730393439531,114.43629455566406,0.1892583998851478
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,0,0.008034301921725273,104.37384033203125,0.20941690006293356
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,1,0.005764856934547424,93.48133087158203,0.19869870017282665
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,40,2,0.005513373296707869,91.35665130615234,0.20556419994682074
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,0,0.006440130993723869,82.58476257324219,0.2149639001581818
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,1,0.006114855874329805,76.10613250732422,0.22256190003827214
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,50,2,0.007953846827149391,87.4197006225586,0.21056989999487996
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,0,0.008261004462838173,77.04484558105469,0.21582969999872148
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,1,0.00740316417068243,73.96688842773438,0.2150572999380529
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,60,2,0.00926200021058321,83.5798568725586,0.2128983000293374
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,0,0.008551028557121754,70.91976928710938,0.21349019999615848
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,1,0.007263489067554474,76.22151947021484,0.22509469999931753
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,70,2,0.008177602663636208,70.03194427490234,0.21717679989524186
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,0,0.008952935226261616,69.6692123413086,0.22716160002164543
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,1,0.006722066551446915,63.637908935546875,0.229718399932608
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,80,2,0.007231836672872305,64.73497009277344,0.240138900000602
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,0,0.006737516261637211,61.413455963134766,0.24507389985956252
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,1,0.007269473746418953,67.88247680664062,0.24424490006640553
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,90,2,0.008288659155368805,65.01727294921875,0.2275882000103593
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,0,0.010229331441223621,68.75423431396484,0.2360418001189828
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,1,0.008375880308449268,64.96971893310547,0.22421370004303753
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,100,2,0.010235454887151718,74.1187744140625,0.24263709993101656
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,0,0.010404728353023529,56.08241653442383,0.4139882999006659
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,1,0.009778933599591255,57.72063446044922,0.42377029987983406
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,200,2,0.007338866125792265,50.59135818481445,0.41264940006658435
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,300,0,0.0091684116050601,50.35240936279297,0.44649349991232157
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,300,1,0.00901316199451685,52.234275817871094,0.4410693999379873
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,300,2,0.006425866391509771,43.468467712402344,0.43984410003758967
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,400,0,0.014721214771270752,63.99399948120117,0.47865530010312796
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,400,1,0.010395574383437634,55.64212417602539,0.48029129998758435
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,400,2,0.008294874802231789,46.837738037109375,0.47931659989990294
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,500,0,0.009986069984734058,50.32691955566406,0.508657000027597
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,500,1,0.011506025679409504,55.33816909790039,0.6669705999083817
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,4,40,500,2,0.007524726912379265,44.780601501464844,0.5528660998679698
