problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,0,2.0037992726429366e-05,83.32359313964844,0.2108136999886483
nsb_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,1,6.577024760190398e-05,75.72876739501953,0.20669169980101287
nsb_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,2,2.2957174223847687e-05,76.57428741455078,0.20352450013160706
nsb_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,0,3.7824858736712486e-05,59.35478591918945,0.2055933999363333
nsb_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,1,9.484997281106189e-05,65.32894897460938,0.19770729984156787
nsb_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,2,3.657212437246926e-05,61.72555923461914,0.18347179982811213
nsb_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,0,6.432959344238043e-05,43.90363311767578,0.196341099916026
nsb_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,1,9.08028960111551e-05,40.229793548583984,0.19843490002676845
nsb_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,2,9.679106005933136e-05,48.210472106933594,0.21621540002524853
nsb_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,40,0,1.883251388790086e-05,36.846195220947266,0.2018337999470532
nsb_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,40,1,0.00023611490905750543,37.751625061035156,0.20408640010282397
nsb_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,40,2,0.00017669676162768155,30.757335662841797,0.20159429986961186
nsb_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,50,0,5.4275620641419664e-05,29.409236907958984,0.21437719999812543
nsb_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,50,1,2.480761395418085e-05,31.286270141601562,0.1954312000889331
nsb_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,50,2,0.00019599692313931882,31.49431037902832,0.19607859989628196
nsb_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,60,0,5.120501373312436e-05,26.036861419677734,0.20461759995669127
nsb_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,60,1,0.00017780311463866383,33.68828582763672,0.2139006000943482
nsb_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,60,2,0.00023003295063972473,33.202171325683594,0.19744520005770028
nsb_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,70,0,4.549838195089251e-05,23.10640525817871,0.20010080002248287
nsb_affine_d8,u,pytorch,mlp_4x40_relu,relu,4,40,70,1,5.223187690717168e-05,28.84859848022461,0.22719620005227625
