problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,0,3.185800596838817e-05,108.29856872558594,0.22145759989507496
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,1,3.219291102141142e-05,89.94070434570312,0.2173929000273347
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,2,5.373101885197684e-05,90.92106628417969,0.2407058000098914
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,0,0.00012495831470005214,51.66978073120117,0.1999366998206824
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,1,0.00013460764603223652,57.7949104309082,0.20170890004374087
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,2,0.00011908319720532745,48.790889739990234,0.1945044999010861
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,0,0.00022212692419998348,34.32138442993164,0.20213150000199676
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,1,0.000190149134141393,34.87948989868164,0.2102124998345971
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,2,0.0002468106395099312,41.28969955444336,0.2038356999401003
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,0,0.0003591327113099396,33.73249816894531,0.21385709987953305
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,1,0.0002982823352795094,28.061603546142578,0.19423300004564226
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,2,0.00029847570112906396,31.518041610717773,0.20620440016500652
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,0,0.0003362995048519224,25.022401809692383,0.2169365999288857
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,1,0.0003320650721434504,25.74835205078125,0.2182664000429213
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,2,0.0003666091652121395,24.927751541137695,0.2113605998456478
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,0,0.0004033861041534692,20.593082427978516,0.22086380003020167
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,1,0.0003661633236333728,24.32310676574707,0.22076550009660423
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,2,0.0003926470235455781,23.352182388305664,0.21120419981889427
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,70,0,0.0003096114087384194,19.271400451660156,0.24799289996735752
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,70,1,0.0003751461918000132,18.9188232421875,0.24318549991585314
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,70,2,0.0004037406761199236,21.56290626525879,0.23474320000968874
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,80,0,0.0003406204632483423,18.475786209106445,0.25115890009328723
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,80,1,0.0003431288059800863,20.3409481048584,0.2282567999791354
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,80,2,0.00033197313314303756,17.611989974975586,0.25408859993331134
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,90,0,0.000490749953314662,17.378982543945312,0.2671817000955343
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,90,1,0.0002960912825074047,17.415449142456055,0.25792769994586706
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,90,2,0.0004275249084457755,18.634777069091797,0.2493257001042366
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,100,0,0.00047606765292584896,18.619970321655273,0.2475988999940455
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,100,1,0.0004694049130193889,18.128677368164062,0.2748765000142157
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,100,2,0.0004194562789052725,18.17056655883789,0.3457237998954952
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,200,0,0.0005639541195705533,14.726137161254883,0.39286820008419454
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,200,1,0.0004283792804926634,13.177849769592285,0.3825234998948872
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,200,2,0.0005122232250869274,14.425894737243652,0.3802412000950426
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,300,0,0.0004889773554168642,12.5540771484375,0.37226740014739335
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,300,1,0.0004740283766295761,12.711029052734375,0.40397039987146854
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,300,2,0.00048429478192701936,12.303725242614746,0.4063973999582231
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,400,0,0.00048160605365410447,12.018922805786133,0.4259895000141114
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,400,1,0.0004150577005930245,11.464582443237305,0.41185380006209016
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,400,2,0.0004069055721629411,11.285320281982422,0.45504379994235933
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,500,0,0.0003431132063269615,10.04529857635498,0.44586859992705286
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,500,1,0.00039858996751718223,10.643108367919922,0.4527025001589209
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,500,2,0.0005370673607103527,12.268743515014648,0.4523068000562489
