problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,0,1.412219262419967e-05,0.3399246335029602,24.18333110003732
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,1,1.2819256880902685e-05,0.3830457627773285,26.667916000122204
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,2,2.7117441277368926e-05,0.4105294346809387,28.34654729999602
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,3,4.995269591745455e-06,0.3881012797355652,18.50812010001391
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,4,2.383128048677463e-05,0.557163655757904,27.8922361000441
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,5,1.4789447050134186e-05,0.31708455085754395,26.644872199976817
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,6,4.989923127141083e-06,0.5119551420211792,21.779702000087127
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,7,6.791571195208235e-06,0.423904150724411,27.62145569990389
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,8,1.0344233487558085e-05,0.46841222047805786,28.299797300016508
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,9,2.6969662940246053e-05,0.33440229296684265,28.971329299965873
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,10,1.4158652447804343e-05,0.43172597885131836,29.819243300007656
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,10,11,3.119356188108213e-05,0.45649003982543945,29.107358900131658
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,20,0,4.6957036829553545e-05,0.24557775259017944,32.3806471999269
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,20,1,7.72737548686564e-05,0.26202136278152466,33.78174419980496
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,20,2,6.396419485099614e-05,0.26243218779563904,34.53869300009683
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,20,3,9.691356535768136e-05,0.2740159332752228,32.31287500006147
nsb_log_d4,p,jax,mlp_4x40_relu,relu,4,40,20,4,6.766636215616018e-05,0.4094049334526062,33.33015449997038
