problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,0,4.993392849428346e-06,0.5277844071388245,19.30661919992417
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,1,7.059382369334344e-06,0.5762216448783875,24.094611500157043
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,2,4.995391464035492e-06,0.6836466789245605,21.906284699914977
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,3,4.998998520022724e-06,0.5396357178688049,24.134855300188065
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,4,5.715921815863112e-06,0.7226000428199768,26.873999299947172
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,5,4.998472377337748e-06,0.8189148902893066,22.532045100117102
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,6,5.524987500393763e-06,0.5905910134315491,27.33290769997984
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,7,8.407007044297643e-06,0.5949853658676147,27.406792499823496
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,9,4.981974143447587e-06,0.5590971112251282,24.324777799891308
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,8,4.998354143026518e-06,0.531676709651947,25.810651699779555
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,10,4.999690645490773e-06,0.6770437359809875,27.552734499797225
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,10,11,4.997840733267367e-06,0.7371567487716675,28.4811060000211
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,0,6.477677288785344e-06,0.3686610460281372,32.687852300005034
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,1,7.743818059680052e-06,0.37811779975891113,31.957451400114223
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,2,8.147455446305685e-06,0.36159226298332214,32.96942129987292
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,3,1.2519087249529548e-05,0.4735724627971649,33.003725400194526
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,5,7.028962500044145e-06,0.4428880214691162,32.78569420007989
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,4,1.0947227565338835e-05,0.610530436038971,33.393494700081646
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,6,1.3666099221154582e-05,0.6166717410087585,33.71414960012771
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,7,9.868349479802419e-06,0.4764208495616913,33.990424499846995
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,8,5.354916083888384e-06,0.424893319606781,33.21790479985066
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,9,1.2392722965159919e-05,0.3870619237422943,33.831381999887526
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,10,1.0604485396470409e-05,0.38772931694984436,34.08885730011389
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,20,11,1.140173935709754e-05,0.47382164001464844,34.238298600073904
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,30,0,9.02549163583899e-06,0.30250218510627747,38.72801960003562
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,30,1,1.022588367050048e-05,0.2722862660884857,39.68027830007486
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,30,2,1.180097387987189e-05,0.33167627453804016,40.41291379998438
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,30,3,1.405801231157966e-05,0.3034633696079254,40.37363129993901
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,30,4,1.09245356725296e-05,0.2545836865901947,39.780722099822015
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,30,5,1.1122148862341419e-05,0.37415164709091187,41.032229099888355
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,30,6,1.0714889867813326e-05,0.40110713243484497,42.03748239995912
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,30,7,9.666870937508065e-06,0.2769584655761719,42.21703189983964
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,30,8,1.189632348541636e-05,0.24944385886192322,41.02591559989378
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,30,9,1.1741045454982668e-05,0.37364521622657776,42.10604300000705
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,30,10,1.4830561667622533e-05,0.2574887275695801,40.28472779993899
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,30,11,1.2536094800452702e-05,0.33866146206855774,41.313185800099745
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,40,0,8.927062481234316e-06,0.23714618384838104,42.24979729996994
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,40,1,9.420728929399047e-06,0.19183145463466644,42.81252639996819
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,40,2,1.42630751724937e-05,0.22469396889209747,42.11068769986741
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,40,3,1.2164679901616182e-05,0.2308664619922638,41.1863055001013
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,40,4,1.2784897990059108e-05,0.2158535271883011,41.48487429996021
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,40,5,1.3015305739827454e-05,0.3387867510318756,40.12086639995687
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,40,6,1.064444768417161e-05,0.22519487142562866,39.73629319993779
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,40,7,1.0381140782556031e-05,0.22863218188285828,41.11758950003423
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,40,8,1.1572372386581264e-05,0.22631408274173737,41.385331799974665
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,40,9,1.3266378118714783e-05,0.26560238003730774,39.38542849989608
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,40,10,1.2501413948484696e-05,0.21972151100635529,38.26825419999659
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,40,11,9.69778648141073e-06,0.27409058809280396,39.987651699921116
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,50,0,1.0963429303956218e-05,0.21536500751972198,54.35264339996502
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,50,1,1.3314727766555734e-05,0.17904050648212433,53.35928089986555
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,50,2,1.6338804925908335e-05,0.15425749123096466,53.887043700087816
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,50,3,1.5223145965137519e-05,0.20494826138019562,54.82926069991663
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,50,5,1.7005184417939745e-05,0.20400817692279816,53.27016710001044
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,50,4,1.5251519471348729e-05,0.1763302981853485,54.76684579998255
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,50,6,1.4947656381991692e-05,0.20711421966552734,53.16339320014231
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,50,7,1.526701817056164e-05,0.15571342408657074,54.09427849994972
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,50,8,1.801079633878544e-05,0.1982341855764389,56.36329809995368
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,50,9,1.867120954557322e-05,0.1792818307876587,54.93832829990424
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,50,10,1.4427650057768915e-05,0.17882196605205536,55.753696999978274
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,50,11,1.34410083774128e-05,0.2082822471857071,57.86099710012786
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,60,0,1.4170946087688208e-05,0.1771484762430191,80.54549799999222
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,60,1,1.584174606250599e-05,0.1614677459001541,81.09870309988037
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,60,2,1.9226930817239918e-05,0.13356004655361176,79.03796970006078
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,60,3,1.814288043533452e-05,0.15775184333324432,80.9194179000333
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,60,4,2.02318697120063e-05,0.13652344048023224,79.23734430014156
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,60,5,1.5395153241115622e-05,0.1805202215909958,79.82303520012647
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,60,6,1.8946235286421143e-05,0.13637585937976837,79.17234289995395
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,60,7,1.7653002942097373e-05,0.12229256331920624,81.42471650009975
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,60,8,1.861400596681051e-05,0.13663075864315033,81.65450960001908
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,60,9,1.882773904071655e-05,0.16063345968723297,80.17755789984949
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,70,0,1.496780532761477e-05,0.16088125109672546,71.27691349992529
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,60,11,1.648039324209094e-05,0.14626383781433105,77.02455620002002
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,60,10,1.9694027287187055e-05,0.15605561435222626,82.2510001999326
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,70,1,1.744118162605446e-05,0.122773177921772,72.73985390015878
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,70,2,2.764413511613384e-05,0.11854252219200134,67.35055289999582
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,70,3,3.054870103369467e-05,0.1139347031712532,74.73475750000216
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,70,4,2.1043822926003486e-05,0.10927364975214005,75.96437769988552
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,70,5,1.8679662389331497e-05,0.18420173227787018,76.05667409999296
nsb_log_d4,p,jax,mlp_4x40_tanh,tanh,4,40,70,6,2.5385710614500567e-05,0.1595313847064972,75.09361129999161
