problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,1,4.9323034545523115e-06,1.469729115927658,11.012325300020166
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,0,4.808181529369904e-06,1.866240638118644,15.239953399985097
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,2,4.966549568052869e-06,1.810624743673079,12.756382399995346
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,3,4.864578386332141e-06,1.5472959851673733,15.471959999995306
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,5,4.856894520344213e-06,2.4732582477182317,11.801638600009028
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,7,4.929775514028734e-06,2.0345382693646292,10.314530500036199
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,4,4.986658041161718e-06,1.6073184269983896,13.435334399982821
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,6,4.933592208544724e-06,1.9683803118986318,11.243583799980115
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,8,4.963861556461779e-06,1.7814654342349714,11.215886700025294
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,11,4.938206075166818e-06,1.6109050707700465,11.83495359995868
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,10,4.9818490879260935e-06,1.2095512461117341,14.07548840000527
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,10,9,4.8150955080927815e-06,1.2491506923372813,17.153536900004838
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,20,2,4.969214387529064e-06,0.6558442376923163,16.292603000008967
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,20,3,4.932632236887002e-06,0.36647046895232666,16.612255999993067
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,20,6,4.994379196432419e-06,0.9628509182744639,14.056330499995966
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,20,1,4.903029093838995e-06,0.40059892673761993,18.374182200001087
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,20,5,4.989828539692098e-06,0.8665768345324464,14.84924960002536
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,20,7,4.954479663865641e-06,1.4916501199930625,14.867106200021226
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,20,8,4.941477527609095e-06,0.9698080141408191,14.92790629999945
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,20,0,4.847749096370535e-06,0.5408012328930251,19.377235000021756
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,20,4,4.9368732106813695e-06,0.6449276629734301,19.21467879996635
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,20,11,4.863447429670487e-06,0.8210817781148715,14.470582799986005
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,20,9,4.928453563479707e-06,0.3248971412119278,20.622089499956928
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,20,10,4.958676072419621e-06,0.5281597390143971,19.763408500002697
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,30,1,4.976526724931318e-06,0.22779787990178701,19.357731900003273
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,30,5,4.982533482689178e-06,0.3268167816382553,18.2511089000036
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,30,0,4.867936695518438e-06,0.3057497810152387,22.60910200001672
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,30,4,4.95777794640162e-06,0.3331703232509299,21.545743399998173
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,30,2,4.99966336064972e-06,0.29398910452780147,22.763542800035793
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,30,7,4.95061112815165e-06,0.32654608697723986,18.236373499967158
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,30,3,4.83239773529931e-06,0.29314048935491877,22.718985999992583
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,30,6,4.991924470232334e-06,0.49290550053477533,20.793555599986576
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,30,8,4.997828909836244e-06,0.4791852995669109,18.628299599979073
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,30,11,4.9250256779487245e-06,0.2817734064100497,18.820586299989372
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,30,9,4.967969289282337e-06,0.3122373594336506,22.20033149997471
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,30,10,4.945991804561345e-06,0.30934762013935696,23.451381199993193
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,40,2,4.972862825525226e-06,0.22309474108816765,23.864813500025775
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,40,1,4.942646683048224e-06,0.14172932778991093,24.494919700024184
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,40,0,4.9889226829691324e-06,0.19508737371006515,24.798137000005227
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,40,3,4.957461442245403e-06,0.1472910085417041,23.12918940000236
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,40,4,4.980992343917023e-06,0.21887602134140302,25.590139300038572
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,40,5,4.957010332873324e-06,0.2043706909711118,23.41570519999368
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,40,6,4.968701432517264e-06,0.28651075003059234,23.641926200012676
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,40,7,4.791850642504869e-06,0.21148211976600537,22.879445699974895
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,40,8,4.99215320814983e-06,0.23232236627841701,21.94780699996045
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,40,9,4.98472536492045e-06,0.23117773634720332,22.953281600028276
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,40,11,4.952981726091821e-06,0.1818791754631033,22.072331900009885
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,50,1,4.9390723688702565e-06,0.10201449338093102,24.995074999984354
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,40,10,4.824809821002418e-06,0.18230147327663324,28.710568699985743
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,50,2,4.835953404835891e-06,0.13251566480377736,26.24066920002224
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,50,0,4.925031134916935e-06,0.13710829238215003,26.970155799994245
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,50,4,4.968219400325324e-06,0.1495564530113526,25.815528300008737
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,50,3,4.993271886633011e-06,0.1201380906005907,26.799510599987116
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,50,5,4.86820454170811e-06,0.16356833868910267,24.889038699970115
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,50,6,4.992367848899448e-06,0.16253985202594068,25.317061899986584
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,50,7,4.995471954316599e-06,0.16092309102115174,24.664973600010853
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,50,9,4.9913737711904105e-06,0.161329663077137,24.44135879998794
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,50,11,4.938503025186947e-06,0.11609178371926075,23.33582530001877
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,50,8,4.975874617230147e-06,0.13295201845536736,26.40227300004335
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,60,1,4.9827503971755505e-06,0.08148282315404921,24.65642009995645
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,50,10,4.909903964289697e-06,0.1252314561941593,31.116133600007743
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,60,2,4.9968407438427676e-06,0.09803399149226694,28.714153299981263
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,60,0,4.906148205918726e-06,0.09717929080952316,30.51704070001142
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,60,3,4.871069450018695e-06,0.09395551930075074,28.856240199995227
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,60,4,4.918142622045707e-06,0.11899087218181192,28.859850200009532
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,60,5,4.858584816247458e-06,0.12652759525016474,26.658009700011462
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,60,6,4.923319011140848e-06,0.12862988058765787,25.393475599994417
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,60,11,4.9457453314971644e-06,0.10463032282137595,25.932341999956407
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,60,9,4.869461008638609e-06,0.11392648105589286,26.381865400006063
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,60,7,4.8776264520711266e-06,0.11064078118618087,29.48649820004357
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,70,1,4.939381142321508e-06,0.06506166071776026,27.636743999959435
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,60,8,4.973707746103173e-06,0.08942913757671019,29.631229099992197
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,60,10,4.995486051484477e-06,0.08262066723847888,34.16826900001615
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,70,0,4.967010227119317e-06,0.08469947429640835,33.45610409998335
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,70,3,4.9949426284001675e-06,0.07665577211844445,30.690794299996924
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,70,2,4.9326154112350196e-06,0.07584550670380516,31.792451700021047
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,70,5,4.961715603712946e-06,0.09818724114322339,29.38775509997504
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,70,6,4.9646182560536545e-06,0.08455484013833325,28.878639000002295
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,70,4,4.994929440726992e-06,0.10173603929086503,34.35721190000186
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,70,7,4.97050496051088e-06,0.09576853093093464,32.47848970000632
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,70,8,4.95400718136807e-06,0.08006352743568639,32.36720089998562
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,70,9,4.9456812121206895e-06,0.07510203679572854,28.25416920002317
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,70,11,4.960887054039631e-06,0.07792438885029364,28.89448200003244
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,80,1,4.996507868781919e-06,0.052567780188403385,30.00430019997293
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,70,10,4.89672675030306e-06,0.07263419478478472,33.02080250001745
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,80,2,4.942125997331459e-06,0.0624095293163322,31.64487439999357
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,80,0,4.9567956921237055e-06,0.06671749887516866,36.24659039999824
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,80,3,4.8780470933706965e-06,0.06151101633629572,32.3140582999913
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,80,5,4.983434337191284e-06,0.07831420179918572,30.542492799984757
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,80,6,4.985090527043212e-06,0.07053022528688536,30.730643499991857
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,80,4,4.979629011359066e-06,0.07937454795715292,34.00870240002405
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,80,7,4.9498025873617735e-06,0.07616156164191154,32.75518490001559
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,80,9,4.992136382497847e-06,0.05181663614706143,31.56332720001228
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,80,8,4.982097834727028e-06,0.07463230086400689,33.68944679998094
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,80,11,4.993190486857202e-06,0.06072864981094147,31.901879300014116
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,90,1,4.976307536708191e-06,0.04285555380176464,30.650490000029095
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,80,10,4.9598561417951714e-06,0.05708465442793002,35.878593800007366
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,90,2,4.958851604897063e-06,0.053306492951454176,32.95053149998421
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,90,0,4.998706572223455e-06,0.053641674824314214,38.28923339996254
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,90,5,4.9102541197498795e-06,0.06199218166032108,32.18714110000292
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,90,3,4.994215942133451e-06,0.055575875982470956,35.43813289998798
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,90,6,4.935520337312482e-06,0.060271118026822404,33.483234699990135
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,90,4,4.965798780176556e-06,0.0669056422805618,35.878332299995236
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,90,9,4.8826696001924574e-06,0.04631447185513531,30.56558179995045
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,90,7,4.995153631170979e-06,0.05992571569980305,35.99178479996044
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,90,8,4.972437182004796e-06,0.05990404873415964,35.241937900020275
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,90,11,4.991014975530561e-06,0.05515628435002114,33.409072700014804
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,90,10,4.944690317643108e-06,0.046063931055288804,37.7093007999938
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,100,1,4.977619937562849e-06,0.03766313914583386,34.42187960003503
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,100,2,4.945645287079969e-06,0.049139379773207766,36.09888290002709
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,100,0,4.996020834369119e-06,0.04439682327023938,38.809956300014164
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,100,3,4.94673804496415e-06,0.04849259168627071,35.80437849997543
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,100,5,4.943938165524742e-06,0.0530438187584162,32.99055050004972
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,100,6,4.999933480576146e-06,0.05281972056787423,34.44512009999016
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,100,4,4.9933405534829944e-06,0.05127325369918612,37.2946365000098
nsb_log_d4,p,pytorch,mlp_10x100_elu,elu,10,100,100,7,4.8427523324789945e-06,0.04857165721489,39.39280739997048
