problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,0,4.943456588080153e-06,1.3007736855847811,6.664893299981486
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,1,4.9701934585755225e-06,1.4555644863073884,7.287422799970955
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,2,4.969349902239628e-06,1.1936991801808539,6.056350200029556
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,3,4.566067218547687e-06,1.430346857918985,8.860036800033413
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,4,4.928945145366015e-06,1.9223214745815815,8.700986199954059
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,5,4.987631200492615e-06,1.2797141099419953,6.9972387999878265
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,7,4.988152340956731e-06,1.535750950222579,6.185877399984747
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,6,4.925391294818837e-06,1.5128735474862929,7.29616209998494
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,8,4.893820914730895e-06,1.4136733381874893,8.242099600029178
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,10,4.824527422897518e-06,1.1345822490758695,7.88594899995951
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,9,4.957316832587821e-06,1.0024878925208767,9.143875300011132
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,10,11,4.875240847468376e-06,1.97727348644616,6.992185299983248
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,1,4.991131845599739e-06,1.0637160625769135,10.847243800002616
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,3,4.982629434380215e-06,1.352718827819254,8.749963100010063
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,2,4.9894310905074235e-06,1.2613738142390565,10.04555540002184
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,0,4.728590738523053e-06,0.8607830604830083,12.46468969999114
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,5,4.958138561050873e-06,0.9608824124321742,8.329637499991804
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,4,4.902053660771344e-06,1.4361760257981075,11.86543070001062
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,7,4.9900281737791374e-06,1.155932201127705,8.750157499976922
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,8,4.966615961166099e-06,0.7235919064305989,9.935001700010616
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,9,4.614032150129788e-06,1.0222609343799194,10.118012799997814
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,6,4.9086320359492674e-06,1.552907460502135,11.540067799971439
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,11,4.979531695425976e-06,1.203266594483626,10.843107900000177
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,20,10,4.899404302705079e-06,1.241275335094881,12.258572400023695
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,0,4.874440946878167e-06,0.5113673102624158,14.878517500008456
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,1,4.950892616761848e-06,0.9368753650519771,14.257989100005943
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,2,4.552037353278138e-06,0.9881886137697854,11.080967099987902
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,3,4.99762700201245e-06,0.8454283265287087,10.8362146000145
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,5,4.941398401570041e-06,0.7554680602371144,12.587937699980102
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,9,4.952897143084556e-06,0.7784649359118692,11.60784169996623
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,8,4.819688001589384e-06,0.8424237145358395,12.410398299980443
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,4,4.823773906537099e-06,1.032550672320126,15.345930700015742
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,7,4.916149464406772e-06,0.8930995736988403,14.330052500008605
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,6,4.6864970499882475e-06,1.450912696299876,15.33174210001016
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,10,4.877843366557499e-06,0.8924958104186876,14.45177570002852
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,30,11,4.965733296558028e-06,1.0106431079928135,13.656463899998926
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,2,4.997713404009119e-06,0.7651341208325081,12.894891700008884
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,0,4.80452217743732e-06,0.6352830200058639,14.415242400020361
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,1,4.8352580961363856e-06,0.43921942649557816,15.394940399972256
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,3,4.9080590542871505e-06,0.689837308824191,14.265996899979655
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,4,4.971289399691159e-06,0.283397192199191,15.900820099981502
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,8,4.984647148376098e-06,0.8203323460475377,13.75358740001684
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,5,4.855769020650769e-06,0.4821472555326437,16.523180499963928
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,9,4.983712642570026e-06,0.5994592610103511,14.162403800000902
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,7,4.908083610644098e-06,0.92507393443352,16.068616700009443
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,6,4.762474418384954e-06,1.160437634693956,16.381229499995243
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,10,4.911436917609535e-06,0.5638024952551691,15.004043200053275
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,40,11,4.887230716121849e-06,0.7617603438669485,15.889102199987974
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,3,4.951892606186448e-06,0.6729605954701823,15.268952599959448
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,0,4.967597760696663e-06,0.7109936763433491,18.11416370002553
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,2,4.983336566510843e-06,0.5931436937273971,15.739703100000042
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,1,4.9430936996941455e-06,0.761296679570192,19.710154699976556
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,4,4.701887519331649e-06,0.6247697831299294,18.10759130003862
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,5,4.931387593387626e-06,0.4586936405489615,17.252032899996266
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,6,4.974564490112243e-06,1.0940567714053022,17.52910410001641
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,8,4.859677574131638e-06,0.6507323440106497,17.284945099963807
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,7,4.649266884371173e-06,1.119914517668539,17.94911340001272
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,10,4.991959940525703e-06,0.8271931218530342,17.187778799969237
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,9,4.911416453978745e-06,0.18536693515452338,17.67217570001958
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,0,4.989300578017719e-06,0.754873889926945,16.97057030000724
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,50,11,4.860586159338709e-06,0.3642259242458918,18.07134439999936
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,2,4.877477749687387e-06,0.5833565332225801,18.283142099971883
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,1,4.935713150189258e-06,0.5450400014228156,21.574603600020055
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,3,4.9814675548987e-06,0.5951316428727789,16.807507699995767
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,4,4.860394710703986e-06,0.28484031809879534,18.625556999992114
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,6,4.940562575939111e-06,0.3148390219128522,19.79226179997204
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,5,4.986608473700471e-06,0.3953519732699851,21.260310699988622
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,8,4.9832669901661575e-06,0.4975270796185322,18.22876389999874
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,10,4.9881814447871875e-06,0.6000988468945087,17.447579899977427
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,7,4.9375344133295584e-06,0.7623211485335389,20.588327099976595
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,9,4.994883056497201e-06,0.512550914527605,18.717876099981368
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,60,11,4.940609869663604e-06,0.34427060368778967,16.563523600052577
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,70,2,4.985404302715324e-06,0.6596738514795534,16.439967399986926
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,70,3,4.9900718295248225e-06,0.5320368152746701,17.541613799985498
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,70,0,4.750002062792191e-06,0.5724832216080951,20.86080620001303
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,70,1,4.978278866474284e-06,0.1667647310987648,21.392836599959992
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,70,4,4.994216396880802e-06,1.0292100566613014,21.21347150002839
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,70,5,4.815381544176489e-06,0.3490594196004373,21.457237900001928
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,70,6,4.9515970204083715e-06,0.4721021809071327,19.96966559998691
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,70,8,4.994459686713526e-06,0.5330712808655753,19.73338380001951
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,70,7,4.983190137863858e-06,0.5463326126995507,21.377561200002674
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,70,10,4.908840764983324e-06,0.38233543590505575,20.088216500007547
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,70,9,4.939763130096253e-06,0.7128258508590336,22.730913000006694
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,70,11,4.953165444021579e-06,0.5558006864247848,20.087750300008338
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,80,2,4.878129402641207e-06,0.5146468616502909,18.867875099997036
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,80,3,4.998969416192267e-06,0.5913466641552287,19.05743819999043
nsb_log_d4,p,pytorch,mlp_10x100_tanh,tanh,10,100,80,1,4.9706218305800576e-06,0.6748525688614364,21.744041899975855
