problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,0,4.999109023628989e-06,3.427081642970102,9.57191070006229
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,2,4.999670636607334e-06,3.552334221445343,4.9967856999719515
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,6,4.997610631107818e-06,3.3454933972118543,1.4063356999540702
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,3,4.999866177968215e-06,3.077290516753358,6.3319159999955446
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,4,4.996164534531999e-06,4.1438312875337875,5.659721600008197
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,1,4.998137683287496e-06,4.350124133350963,9.686903199995868
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,5,4.996614279662026e-06,3.510495136218494,8.999694099999033
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,7,4.999467364541488e-06,4.079458276750764,8.722563099930994
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,9,4.997768883185927e-06,3.3879582099387084,8.208377499948256
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,11,4.997139058104949e-06,3.8024792327854966,7.463598400005139
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,10,4.9998170652543195e-06,4.761657363547341,11.197703899932094
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,10,8,5.981647063890705e-06,2.6782098379321715,13.672038699965924
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,1,4.99990437674569e-06,2.231419494968928,8.200165599933825
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,2,4.999281827622326e-06,2.376829005598343,10.918660699971952
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,3,4.90381626150338e-06,1.9728191116617741,12.912110599922016
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,0,9.603066246199887e-06,1.7098496096812645,15.461333899991587
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,4,4.999300927011063e-06,2.8231095382527327,10.095318000065163
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,6,4.998602889827453e-06,2.7153646207826605,10.182406799984165
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,7,8.022012480068952e-06,2.4327533295867183,13.895851999986917
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,5,6.369041329890024e-06,2.172523280878383,17.34101620002184
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,11,4.99627776662237e-06,2.6095258762974236,9.570666800020263
nsb_log_d4,u,jax,mlp_4x40_relu,relu,4,40,20,10,4.999790689907968e-06,2.916184232126715,11.366821000003256
