problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,0,4.348000857135048e-06,0.5401003956794739,29.11402429989539
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,1,4.079596237716032e-06,0.5197972655296326,32.371631199959666
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,3,4.817000899492996e-06,0.610480010509491,32.80490559991449
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,2,4.992596586816944e-06,0.5386735200881958,61.03475130000152
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,4,4.96813527206541e-06,0.612545907497406,40.523455400019884
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,6,4.488531430979492e-06,0.5683152675628662,36.69304320006631
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,5,3.1500817385676783e-06,0.6062565445899963,47.66154639981687
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,7,4.945261935063172e-06,0.5278473496437073,42.010857600020245
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,9,4.832304057345027e-06,0.5171788930892944,32.88041379977949
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,8,4.678715868067229e-06,0.5415275692939758,48.13260559993796
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,11,4.804138825420523e-06,0.5875608921051025,48.0033620998729
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,10,10,4.924991571897408e-06,0.512495756149292,61.02761280001141
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,20,0,1.7354026567772962e-05,0.3748231828212738,93.79684410011396
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,20,1,2.3438256903318688e-05,0.37615206837654114,93.56528570014052
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,20,2,2.7381651307223365e-05,0.46121615171432495,96.41984149999917
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,20,3,2.742526339716278e-05,0.3638582229614258,94.98671120009385
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,20,4,2.7792028049589135e-05,0.458505779504776,93.80648510018364
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,20,5,2.5543424271745607e-05,0.376268595457077,93.62165540014394
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,20,6,5.190232695895247e-05,0.44765591621398926,97.16385899996385
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,20,7,2.65651433437597e-05,0.3552493453025818,94.99668479990214
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,20,8,2.256928382848855e-05,0.38414087891578674,93.27903559990227
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,20,9,4.036507016280666e-05,0.39093029499053955,94.59686419996433
nsb_log_d8,p,jax,mlp_10x100_elu,elu,10,100,20,10,3.765889414353296e-05,0.3962375223636627,96.34536359994672
