problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,0,0.006297152489423752,0.24631421267986298,0.48311769985593855
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,1,0.010705079883337021,0.2568085193634033,0.4179499999154359
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,10,2,0.008618817664682865,0.2593851387500763,0.4320437000133097
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,0,0.0088567603379488,0.24023562669754028,0.44169309991411865
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,1,0.009764133021235466,0.24574367702007294,0.46646369993686676
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,20,2,0.007078568451106548,0.2588193118572235,0.46243029995821416
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,30,0,0.010258364491164684,0.21986831724643707,0.47344089997932315
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,30,1,0.010636512190103531,0.21685627102851868,0.45571489981375635
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,30,2,0.010102778673171997,0.2419484704732895,0.45501419994980097
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,40,0,0.010730938985943794,0.20993711054325104,0.4637847999110818
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,40,1,0.011330021545290947,0.21450674533843994,0.45710969995707273
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,40,2,0.014386351220309734,0.21603713929653168,0.4681502999737859
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,50,0,0.009747873060405254,0.19271837174892426,0.4776061000302434
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,50,1,0.007979351095855236,0.20265692472457886,0.5374734001234174
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,50,2,0.01221213024109602,0.23336666822433472,0.4861859001684934
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,60,0,0.009041237644851208,0.22396232187747955,0.4588433001190424
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,60,1,0.008904499933123589,0.21157768368721008,0.4840226999949664
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,60,2,0.011251873336732388,0.2105339765548706,0.470758100040257
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,70,0,0.008779063820838928,0.24467909336090088,0.5096245999448001
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,70,1,0.009845230728387833,0.20312100648880005,0.49314050003886223
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,70,2,0.0116959223523736,0.2087208777666092,0.4656746999826282
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,80,0,0.010314973071217537,0.22565676271915436,0.4849666999652982
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,80,1,0.012263643555343151,0.19950880110263824,0.5026302000042051
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,80,2,0.01192118413746357,0.19356776773929596,0.4908259001094848
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,90,0,0.01081138662993908,0.22496236860752106,0.4729431997984648
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,90,1,0.011146306991577148,0.2029496729373932,0.5190105999354273
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,90,2,0.012608697637915611,0.20100004971027374,0.5173393001314253
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,100,0,0.010849620215594769,0.20731990039348602,0.49164710007607937
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,100,1,0.010956138372421265,0.20337574183940887,0.4910200999584049
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,100,2,0.01276438869535923,0.1995956152677536,0.49950699997134507
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,200,0,0.012668151408433914,0.17468632757663727,0.5625219000503421
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,200,1,0.013260852545499802,0.16548417508602142,0.5796507000923157
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,200,2,0.011795184575021267,0.17322593927383423,0.5426933001726866
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,300,0,0.011495737358927727,0.1646108776330948,0.6008437999989837
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,300,1,0.011044875718653202,0.14791321754455566,0.60609390004538
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,300,2,0.013781334273517132,0.1552402377128601,0.5803654999472201
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,400,0,0.009769482538104057,0.13563872873783112,0.627067499794066
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,400,1,0.013055047951638699,0.13665159046649933,0.6200703999493271
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,400,2,0.013723338022828102,0.12896692752838135,0.6412571999244392
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,500,0,0.011976214125752449,0.12555818259716034,0.698036199901253
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,500,1,0.013573972508311272,0.11884187161922455,0.7938836000394076
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,10,100,500,2,0.01278937328606844,0.1259131133556366,0.6782678999006748
