problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,0,0.008616140112280846,0.39056238532066345,0.21685849991627038
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,1,0.011980606243014336,0.5957324504852295,0.19218860007822514
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,10,2,0.00975128449499607,0.7297576665878296,0.20089380000717938
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,0,0.013820233754813671,0.24035419523715973,0.21782509982585907
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,1,0.012512482702732086,0.23514661192893982,0.20425039995461702
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,20,2,0.01853872463107109,0.354841411113739,0.20117710018530488
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,0,0.022389952093362808,0.1464737504720688,0.19667420000769198
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,1,0.017741302028298378,0.1356784701347351,0.2107758999336511
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,30,2,0.020205656066536903,0.19036510586738586,0.20873799989931285
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,0,0.022014502435922623,0.12370957434177399,0.19280619989149272
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,1,0.02425317093729973,0.15993131697177887,0.21254900004714727
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,40,2,0.02404141239821911,0.15357835590839386,0.21859000017866492
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,50,0,0.025008637458086014,0.12442482262849808,0.20833349996246397
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,50,1,0.029099516570568085,0.12003286182880402,0.21687250002287328
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,50,2,0.02730596624314785,0.13721545040607452,0.20057990006171167
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,60,0,0.02267509140074253,0.13160374760627747,0.21382720000110567
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,60,1,0.025774531066417694,0.10685762763023376,0.2270416000392288
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,60,2,0.02984241582453251,0.13365265727043152,0.21389549993909895
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,70,0,0.028124533593654633,0.09870986640453339,0.2056458001025021
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,70,1,0.027793584391474724,0.10209665447473526,0.21672520018182695
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,70,2,0.02944369986653328,0.11423313617706299,0.21471409988589585
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,80,0,0.028468603268265724,0.10365233570337296,0.23491810006089509
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,80,1,0.02932395599782467,0.10538728535175323,0.22177420021034777
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,80,2,0.031174516305327415,0.11622044444084167,0.22306360001675785
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,90,0,0.03398831561207771,0.10811712592840195,0.23814780008979142
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,90,1,0.03392721340060234,0.1057862713932991,0.22905809991061687
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,90,2,0.029658053070306778,0.10047280043363571,0.24206890002824366
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,100,0,0.03001701831817627,0.09530584514141083,0.22773980000056326
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,100,1,0.032245855778455734,0.09533452242612839,0.2192242001183331
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,100,2,0.034052640199661255,0.10148227959871292,0.22079070005565882
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,200,0,0.03379841893911362,0.08626141399145126,0.2707428999710828
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,200,1,0.03878932073712349,0.09219370037317276,0.2612022999674082
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,200,2,0.031185338273644447,0.08000604808330536,0.26415679999627173
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,300,0,0.032294511795043945,0.07751337438821793,0.29599029989913106
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,300,1,0.03916773572564125,0.08658502250909805,0.2961623000446707
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,300,2,0.037460703402757645,0.08032965660095215,0.2850636998191476
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,400,0,0.03189564123749733,0.07407581061124802,0.3291235000360757
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,400,1,0.029652558267116547,0.06966990232467651,0.3273072000592947
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,400,2,0.032524801790714264,0.07148689776659012,0.3180351001210511
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,500,0,0.0292682908475399,0.0698767602443695,0.35063809994608164
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,500,1,0.03525064140558243,0.07716447860002518,0.31165669998154044
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,4,40,500,2,0.03378901258111,0.07409312576055527,0.36213219980709255
