problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,3,4.993580205336912e-06,0.5206911563873291,244.43253299989738
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,1,4.979836830898421e-06,0.40694063901901245,293.44071189989336
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,4,4.959047146257944e-06,0.4487592875957489,127.39206520002335
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,0,4.999308657716028e-06,0.48397406935691833,311.37445760006085
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,5,4.898115093965316e-06,0.4422154426574707,116.90797119983472
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,6,4.716373950941488e-06,0.4542398452758789,74.18029240006581
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,2,2.3363676518783905e-05,0.5076690316200256,334.0665706000291
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,9,4.9750319703889545e-06,0.43729227781295776,84.22662249999121
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,7,4.990980414731894e-06,0.44508278369903564,97.2422060999088
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,8,4.994903974875342e-06,0.5667467713356018,94.25303009990603
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,10,4.92307390231872e-06,0.5083812475204468,98.6385775001254
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,10,11,4.978202014171984e-06,0.48856356739997864,105.71470520016737
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,0,0.00012502915342338383,0.31975704431533813,137.2949655998964
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,1,0.00010094261233462021,0.33957991003990173,130.5128876999952
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,2,0.00017602386651560664,0.4216407835483551,104.18191899987869
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,3,8.288579556392506e-05,0.40005257725715637,96.63414610014297
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,4,0.00022227839508559555,0.3657216429710388,95.48502840008587
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,5,0.00014166209439281374,0.32838645577430725,91.26289249979891
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,6,0.00013403793855104595,0.37333741784095764,84.21155279991217
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,7,0.00013702994328923523,0.3258509635925293,84.23150609992445
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,8,6.588072574231774e-05,0.40751218795776367,69.93013450014405
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,9,0.00022576992341782898,0.37215062975883484,63.52289659995586
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,10,9.150137339020148e-05,0.3312407433986664,53.950541000114754
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,20,11,9.132645936915651e-05,0.3759852945804596,51.043236300116405
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,0,0.00022004956554155797,0.27656129002571106,53.87435570009984
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,2,0.00031420920277014375,0.3391517698764801,45.73526969994418
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,1,0.00020287916413508356,0.27378880977630615,46.8833949000109
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,3,0.00026592216454446316,0.3211338222026825,42.97103410004638
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,5,0.0001597096270415932,0.2957269847393036,39.77387100015767
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,4,0.00038277855492196977,0.3216460943222046,41.163876299979165
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,6,0.0004670615599025041,0.28733113408088684,40.568435800028965
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,7,0.000271629192866385,0.30112239718437195,40.11835479992442
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,8,0.00019113902817480266,0.3146061897277832,39.22666499996558
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,9,0.00026028105639852583,0.3145528733730316,38.86941760010086
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,10,0.00025202365941368043,0.2876147925853729,39.08957750000991
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,30,11,0.0001806873333407566,0.3267686367034912,38.86419309978373
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,0,0.0003525115898810327,0.2408246248960495,39.0011014000047
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,1,0.00033330495352856815,0.26427748799324036,38.133125100051984
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,2,0.0003078584559261799,0.32930514216423035,37.36790469987318
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,4,0.0004282576555851847,0.2944701611995697,32.547444600146264
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,3,0.0002824427210725844,0.2787269651889801,36.52452029986307
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,6,0.0005599572905339301,0.2500084638595581,34.61286900006235
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,5,0.00031065905932337046,0.24944564700126648,35.57214449997991
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,7,0.00031946011586114764,0.2675110399723053,35.19774079998024
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,9,0.0003193161974195391,0.28475701808929443,33.15979529987089
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,8,0.00025842097238637507,0.2786395251750946,33.81719839992002
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,10,0.0004345532797742635,0.25024914741516113,34.63594970013946
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,40,11,0.0002528742188587785,0.29653140902519226,35.444603599840775
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,50,0,0.00035297885187901556,0.22520652413368225,38.781670399941504
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,50,2,0.0004218118265271187,0.2950308620929718,38.16624550009146
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,50,1,0.0005244645872153342,0.23156197369098663,40.14584209979512
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,50,3,0.00030468625482171774,0.23430418968200684,40.23809040011838
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,50,4,0.0005467968294396996,0.25314193964004517,40.836818100186065
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,50,6,0.0007986981072463095,0.2403387427330017,40.4321827001404
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,50,5,0.000344613945344463,0.23816025257110596,40.9843049000483
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,50,7,0.00042093792580999434,0.265828013420105,40.460133200045675
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,50,8,0.00025371622177772224,0.26714834570884705,42.122441000072286
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,50,10,0.0007093090680427849,0.23386406898498535,40.616944700013846
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,50,9,0.0004346675705164671,0.2902100682258606,42.69518969999626
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,50,11,0.0003383338626008481,0.2645997703075409,40.42350410018116
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,60,0,0.0004964025574736297,0.20796522498130798,43.419929599855095
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,60,2,0.0005429665907286108,0.2685377895832062,44.96594430017285
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,60,1,0.0005485229194164276,0.21787351369857788,48.24772489978932
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,60,4,0.000496908905915916,0.2402016669511795,44.38122279988602
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,60,3,0.00036780789378099144,0.21547774970531464,48.50457559991628
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,60,5,0.0004628140013664961,0.22433409094810486,44.82292240019888
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,60,6,0.0008225271594710648,0.2228929102420807,44.859281100099906
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,60,7,0.0004716926487162709,0.21677817404270172,45.40965809999034
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,60,8,0.0003379240515641868,0.2541148066520691,46.78835289995186
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,60,9,0.0004137406649533659,0.2539759576320648,45.91122729983181
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,60,10,0.0006013155798427761,0.24279692769050598,45.840018100105226
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,60,11,0.0004423408245202154,0.23563437163829803,43.2110687000677
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,70,0,0.0005651164101436734,0.1901502013206482,50.22020640014671
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,70,1,0.0006522418698295951,0.22622595727443695,49.09034370002337
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,70,2,0.0005947141326032579,0.2554749548435211,48.08452709997073
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,70,3,0.0004949627327732742,0.2133771926164627,50.73389569995925
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,70,4,0.0007468921830877662,0.2362387627363205,50.41638179984875
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,70,5,0.0003905461635440588,0.20580759644508362,49.635709499940276
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,70,6,0.0008641395252197981,0.19480769336223602,49.548208999913186
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,70,7,0.0004803240008186549,0.1972987800836563,49.451548899989575
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,70,8,0.00038892545853741467,0.2216157466173172,50.56233029998839
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,70,9,0.00047976250061765313,0.22228847444057465,49.15173159982078
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,4,40,70,10,0.000667751592118293,0.19846385717391968,50.10693400003947
