problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,0,4.993211405235343e-06,14.54964481451606,55.18192140001338
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,4,4.9772111196944024e-06,18.351216255273783,9.640891900053248
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,2,4.999174961994868e-06,16.119172111688098,48.15300299995579
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,7,4.99209681947832e-06,15.455935133363935,14.983900199993514
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,8,4.970888312527677e-06,15.00649401669885,27.242081800010055
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,1,4.986041858501267e-06,13.729814726904447,72.11514049989637
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,9,4.987056399841094e-06,15.53497692708332,19.180142499972135
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,3,4.992570211470593e-06,14.267458051401901,50.354417799972
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,5,4.998700205760542e-06,14.321118742357475,42.96240519999992
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,6,4.993719358026283e-06,18.97461131679185,41.78172299999278
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,10,4.996817551727872e-06,16.63480282207069,27.696140800020657
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,1,4.963960236636922e-06,8.47883768623845,23.44686950009782
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,10,11,4.995978542865487e-06,15.818358500894314,33.9738473999314
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,11,4.996889856556663e-06,7.688264498467122,16.32964060001541
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,9,4.997376436222112e-06,8.601899795721579,23.227022200007923
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,6,4.9959517127717845e-06,8.826730581549743,37.56151150004007
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,4,4.996581537852762e-06,9.917771576602446,37.03975650004577
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,10,4.987171450920869e-06,8.307698127706566,23.605075900093652
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,7,4.983629423804814e-06,8.10602022912248,36.09037150000222
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,5,4.9999889597529545e-06,8.158793847032896,37.97336900001392
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,1,4.998104486730881e-06,4.462649305731333,11.85672129993327
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,2,4.99311772728106e-06,9.08572888361622,51.43884399998933
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,0,4.988419732399052e-06,7.582537542727764,59.17575399996713
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,0,4.996984444005648e-06,4.403727099714546,15.53176749998238
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,3,4.9749596655601636e-06,7.003772157352463,54.69590589997824
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,20,8,4.9931522880797274e-06,9.30481404181314,43.17705850000493
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,4,4.997978976462036e-06,5.824945789550002,16.274157400010154
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,2,4.99920179208857e-06,5.402140152471384,18.77307620004285
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,8,4.999101292924024e-06,5.478662209274084,13.307576599996537
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,5,4.9931895773625e-06,5.160729548490377,20.678964899969287
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,3,4.982964583177818e-06,4.49821642457706,25.28074940002989
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,5,4.994002665625885e-06,3.335174777420868,12.654634099919349
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,1,4.9964842219196726e-06,2.7426723051406534,20.511279300088063
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,11,4.997973519493826e-06,4.812632552918356,21.631487200036645
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,0,4.9941972974920645e-06,2.6224605944685355,21.691868699970655
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,7,4.9863988351717126e-06,5.021810885740325,25.610615100013092
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,9,4.942236955685075e-06,4.446182158585007,23.839390499982983
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,6,4.9941013458010275e-06,5.115950803921025,31.227562800049782
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,30,10,4.999450084142154e-06,5.8486965283114145,25.220703599974513
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,7,4.981003257853445e-06,3.2374235747285054,16.634900100063533
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,11,4.999461907573277e-06,2.4233842173923117,11.858100600074977
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,2,4.9993709581031e-06,3.12541808433224,22.307276400038972
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,6,4.994983555661747e-06,2.3900534447972257,22.757305199978873
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,8,4.991996775061125e-06,3.4594065174440582,18.43697699997574
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,4,4.973502655047923e-06,3.668664234181583,23.788583099958487
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,3,4.992721642338438e-06,2.4966485676762145,27.53683820005972
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,50,1,4.994700248062145e-06,1.4893013529198953,16.29931829997804
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,50,0,4.999322754883906e-06,1.8585636709957651,18.058406800031662
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,10,4.997222731617512e-06,2.947314678975906,21.0465613999404
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,50,3,4.994055871065939e-06,1.4420836896372824,19.947987799998373
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,50,7,4.993667516828282e-06,1.9065353883161862,18.04425319994334
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,50,4,4.978355264029233e-06,2.2131826622746384,18.821656500105746
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,50,2,4.99953512189677e-06,1.9740817712437693,20.909900899976492
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,40,9,4.992843969375826e-06,2.3500047513345836,26.58365349995438
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,50,9,4.992574304196751e-06,1.3550296858842632,17.68708200007677
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,50,5,4.994867595087271e-06,1.9510708513384976,22.474557299981825
nsb_log_d8,u,jax,mlp_4x40_elu,elu,4,40,50,10,4.999433258490171e-06,1.4993636691314163,17.215880100033246
