problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,3,4.990090474166209e-06,10.607216825197298,16.653534599929117
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,0,4.99823727295734e-06,11.192520937189826,40.31080860004295
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,2,4.9970935833698604e-06,10.512037017865486,36.56919419998303
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,1,4.994300979888067e-06,10.930910528101233,37.9273670000257
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,5,4.969089786754921e-06,11.025288485801305,17.974632400088012
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,8,4.9925833991437685e-06,10.141811148966447,7.547130099963397
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,7,4.986072326573776e-06,12.107882875362984,20.20319929998368
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,4,4.9990476327366196e-06,12.801205805219007,28.026811200077645
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,9,4.97244946018327e-06,10.245914910427233,14.483180799987167
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,1,4.996813913749065e-06,6.431813122377478,12.015023699961603
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,2,4.982347491022665e-06,7.075209044851736,14.614533999934793
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,6,4.959210400556913e-06,12.60016808677136,37.49079869990237
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,10,4.988028194929939e-06,10.851852429717002,28.59441370004788
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,10,11,4.997423275199253e-06,11.587464590310095,27.907209500088356
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,8,4.945106411469169e-06,7.150748928031674,13.476220999960788
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,7,4.984701263310853e-06,7.196542600503851,17.939029500004835
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,5,4.996896223019576e-06,7.204336252446664,23.692555999965407
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,0,4.990032721252646e-06,7.068810832758844,33.45714359998237
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,3,4.970120698999381e-06,6.121172518220251,29.724716100026853
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,6,4.970710961060831e-06,7.906497702914423,27.175246400060132
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,4,4.9922509788302705e-06,8.003384295106693,30.976838899892755
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,11,4.991969490220072e-06,7.2941955385438915,18.152589400066063
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,3,4.999163138563745e-06,4.476054368030234,12.95712670008652
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,4,4.995240033167647e-06,5.68848327643351,12.32572149997577
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,7,4.997867108613718e-06,4.650879346758334,13.388725299970247
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,9,4.999167231289903e-06,6.307911382132001,30.67412889993284
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,2,4.999894827051321e-06,5.285095020998794,22.094557799980976
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,0,4.996479219698813e-06,4.320056787035595,25.063823000062257
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,1,4.999243174097501e-06,5.4383312180763586,24.140771199949086
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,5,4.990096840629121e-06,4.918441117857363,19.891174099990167
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,20,10,4.983707185601816e-06,6.581064249152783,29.46351610007696
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,6,4.999062184651848e-06,4.792183528018742,19.144969000015408
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,4,40,30,8,4.998962140234653e-06,5.095837788967424,17.852676199981943
