problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,0,4.9621189646131825e-06,2.205592334152388,31.282696300011594
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,1,4.693476057582302e-06,8.25291206212446,31.44840649998514
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,2,4.868318683293182e-06,4.233613519474625,33.55686360003892
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,3,4.974588136974489e-06,9.89121423029593,28.79102280002553
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,4,4.946869012201205e-06,9.566267392786242,32.245353500009514
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,5,4.974495823262259e-06,4.3852182893097496,31.84025800001109
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,6,4.934547632728936e-06,6.709090293791439,32.321008200000506
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,7,4.836730568058556e-06,8.167217752133752,30.98656829999527
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,10,4.944514330418315e-06,6.3252777697716125,28.776434500003234
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,8,4.897993221675279e-06,7.7048717119424674,35.013501000008546
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,9,4.875143986282637e-06,9.47868071978351,35.43235989997629
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,10,11,4.979787718184525e-06,4.092479709261737,31.56483799999114
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,1,4.971292128175264e-06,5.102110885937761,33.38849849998951
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,0,4.950096354150446e-06,6.798746121764169,38.81683590001194
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,2,4.978355264029233e-06,6.919225745529883,34.68782099999953
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,3,4.852357506024418e-06,2.0216830607293663,31.24924540001666
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,4,4.905233708996093e-06,3.771623711445867,34.58901990001323
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,6,4.968825578544056e-06,6.252709426752477,33.60519200004637
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,5,4.855896349909017e-06,8.326181706739224,37.99295639997581
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,7,4.9877567107614595e-06,2.4258605764908285,40.702397499990184
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,8,4.9898117140401155e-06,3.2540215047121412,40.500825399998575
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,9,4.900534804619383e-06,5.186836569245022,36.62423830002081
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,11,4.893321147392271e-06,5.325484536486288,37.409794999985024
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,20,10,4.969529982190579e-06,3.600552073447981,39.188197000010405
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,30,1,4.998053100280231e-06,2.8341033199614607,36.83516329998383
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,30,0,4.9577411118661985e-06,4.622296078781446,48.45767719997093
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,30,3,4.8786359911900945e-06,1.744456889092996,36.8127546000178
nsb_log_d8,u,pytorch,mlp_10x100_elu,elu,10,100,30,2,4.832984359381953e-06,5.007343499473375,40.10064339998644
