problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,0,4.999990778742358e-06,3.459052561614709,18.091517099994235
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,2,4.986321982869413e-06,3.9908083649182804,14.748315799981356
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,1,4.999523298465647e-06,3.8680240539329707,18.211300600029062
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,5,4.999870270694373e-06,4.349802281306827,12.388419100025203
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,7,4.999485554435523e-06,5.840799472914576,15.651610300003085
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,3,1.0069918062072247e-05,4.9700246803832915,25.461195200041402
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,4,4.998597432859242e-06,6.145225535756114,22.074191999970935
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,8,4.999159045837587e-06,5.192438093648898,16.446967599971686
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,6,4.999609245714964e-06,5.862554489808492,22.080459500022698
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,9,4.999270004191203e-06,6.068395720070252,19.327798300015274
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,10,4.993923994334182e-06,5.709822716467457,15.467653799976688
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,0,4.993707989342511e-06,2.6732500254851783,20.958263900014572
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,11,4.998106305720285e-06,4.824779730185913,22.626546600018628
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,2,4.998865279048914e-06,2.900706527901643,20.18299530004151
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,5,4.999526936444454e-06,2.5920807656641385,22.909094300004654
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,1,5.982780749036465e-06,2.446212477141396,26.07987769995816
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,3,6.810279046476353e-06,3.7552430497518903,25.91633139998885
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,4,6.164453225210309e-06,4.692692122968833,27.252982199948747
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,6,9.596255949873012e-06,3.637940616588454,28.088071700010914
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,10,4.999866632715566e-06,4.671371683192257,22.060684000025503
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,7,9.247331036021933e-06,4.438394172692432,28.259338599978946
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,8,8.570960744691547e-06,3.543752979845122,26.938107999973
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,9,9.977467016142327e-06,3.3482380481580654,27.414055999950506
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,0,4.99960697197821e-06,2.6302152717549103,24.582852499966975
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,11,1.0416647455713246e-05,3.89503142344376,26.724561999959406
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,2,4.999486009182874e-06,3.000438263993389,25.815981100022327
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,1,7.648520295333583e-06,1.8570259793258745,28.603781200014055
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,3,7.452487807313446e-06,3.378962784359088,28.57549229997676
