problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,0,7.788425136823207e-05,84.78060913085938,0.22738740011118352
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,1,0.00015871162759140134,86.21456146240234,0.1814439999870956
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,10,2,5.6928052799776196e-05,66.15257263183594,0.19859810010530055
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,0,0.0001988010189961642,62.3131217956543,0.2065483001060784
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,1,6.269251753110439e-05,61.24063491821289,0.19861419987864792
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,20,2,6.852747173979878e-05,52.09507369995117,0.18828549981117249
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,0,4.5186534407548606e-05,47.39932632446289,0.18904940015636384
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,1,0.00011957276001339778,38.76161193847656,0.19653389998711646
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,30,2,1.0178590855502989e-05,36.90251541137695,0.18220090004615486
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,40,0,0.0001589373277965933,37.38555908203125,0.20180270005948842
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,40,1,0.000164608791237697,28.23636245727539,0.20701049990020692
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,40,2,0.00012640771456062794,35.06122970581055,0.20248139998875558
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,50,0,8.282192720798776e-05,28.221376419067383,0.20135360001586378
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,50,1,5.533602598006837e-05,24.095685958862305,0.18397560017183423
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,50,2,0.0001327754434896633,30.882423400878906,0.19076409982517362
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,60,0,0.0002687517844606191,27.980955123901367,0.1791628000792116
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,60,1,9.801439591683447e-05,24.449312210083008,0.17823430011048913
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,60,2,0.0001715390826575458,27.66673469543457,0.22005650005303323
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,70,0,0.0002449174062348902,27.969467163085938,0.22229499998502433
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,70,1,0.00019724875164683908,26.087472915649414,0.20978870010003448
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,70,2,4.388936940813437e-05,19.636959075927734,0.19640829996205866
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,80,0,0.00031033731647767127,23.587390899658203,0.21265199990011752
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,80,1,7.246171298902482e-05,18.659889221191406,0.201472100103274
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,80,2,7.376320718321949e-05,23.181787490844727,0.20598210021853447
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,90,0,0.000266063871094957,20.843963623046875,0.21337189991027117
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,90,1,6.0400616348488256e-05,17.337350845336914,0.221212700009346
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,90,2,2.5956907848012634e-05,16.193458557128906,0.20850439998321235
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,100,0,0.00043746375013142824,23.45456314086914,0.22334790020249784
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,100,1,0.00018660425848793238,18.770368576049805,0.22671979991719127
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,100,2,0.0001957570348167792,18.623571395874023,0.2631915998645127
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,200,0,0.0001387858355883509,13.011027336120605,0.2685298998840153
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,200,1,0.00010691126954043284,8.672235488891602,0.3459819001145661
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,200,2,2.8582016966538504e-05,8.624483108520508,0.3796723000705242
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,300,0,0.00028559219208545983,8.86705493927002,0.4035088000819087
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,300,1,9.908198262564838e-05,9.116966247558594,0.38682240014895797
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,300,2,1.719313695502933e-05,6.277000427246094,0.38057249994017184
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,400,0,5.744266672991216e-05,7.273476600646973,0.3819585000164807
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,400,1,8.480441465508193e-05,6.89387845993042,0.39357910002581775
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,400,2,0.00015222822548821568,8.826732635498047,0.40751120005734265
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,500,0,6.601258064620197e-05,5.269584655761719,0.435138100059703
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,500,1,0.0001892984873848036,7.591596603393555,0.43128939997404814
nsb_log_d8,u,pytorch,mlp_4x40_relu,relu,4,40,500,2,4.0538201574236155e-05,4.590569496154785,0.4322599000297487
