problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,2,4.9994405344477855e-06,0.9285537004470825,179.81515909987502
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,1,4.998617896490032e-06,1.02066171169281,200.85468260012567
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,7,4.993891252524918e-06,1.0686832666397095,87.53769449982792
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,8,4.997319592803251e-06,0.9215770363807678,78.71954840002581
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,0,4.9998411668639164e-06,0.7033620476722717,240.46616979991086
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,10,4.9991717787634116e-06,0.7932763695716858,56.03654860006645
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,3,5.2584600780392066e-06,0.9293153882026672,156.7072711000219
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,4,4.9879454309120774e-06,0.8179340362548828,147.62145720003173
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,11,4.999689735996071e-06,1.1038295030593872,51.25543359993026
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,5,5.4008651204640046e-06,0.9438700079917908,118.89181659999304
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,6,7.336558610404609e-06,1.1370794773101807,106.40110679995269
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,9,4.996253665012773e-06,0.9748925566673279,69.65417370013893
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,0,6.648705038969638e-06,0.3890863358974457,26.992674499982968
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,1,7.927943443064578e-06,0.40796056389808655,27.780575500102714
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,2,6.6325046645943075e-06,0.4058428406715393,24.520550900138915
