problem,target,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,0,2.997030424012337e-05,90.07660675048828,0.2142230998724699
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,1,5.153708116267808e-05,90.14476776123047,0.19167699990794063
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,10,2,3.884629040840082e-05,77.03821563720703,0.17873820010572672
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,0,0.00017456072964705527,49.59956359863281,0.18839669995941222
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,1,0.0001232244831044227,46.4416389465332,0.19861379987560213
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,20,2,0.00017664238112047315,47.54615783691406,0.17564729996956885
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,0,0.0002170709049096331,29.957679748535156,0.18650790001265705
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,1,0.0002539844426792115,38.24459457397461,0.17845659982413054
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,30,2,0.0002322283253306523,32.36460876464844,0.19879320007748902
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,0,0.0003060127201024443,25.7623348236084,0.19636900001205504
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,1,0.0002795819309540093,26.915206909179688,0.19479710003361106
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,40,2,0.00030585244530811906,27.096691131591797,0.1953120999969542
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,0,0.0003404848976060748,21.960535049438477,0.1724671998526901
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,1,0.00024262614897452295,20.289047241210938,0.19935200014151633
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,50,2,0.0003009678330272436,20.86358642578125,0.19000199995934963
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,0,0.0004201361152809113,19.130311965942383,0.2122081001289189
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,1,0.0003455984697211534,21.282636642456055,0.22532399999909103
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,60,2,0.0004046544781886041,20.332630157470703,0.22199709992855787
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,70,0,0.0003455916012171656,16.402551651000977,0.2257018000818789
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,70,1,0.00037703494308516383,20.52887535095215,0.1927855999674648
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,70,2,0.00029257062124088407,18.334423065185547,0.20519339991733432
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,80,0,0.0003514901327434927,17.13041877746582,0.20257119997404516
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,80,1,0.000443139870185405,17.686424255371094,0.2052697001490742
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,80,2,0.00036946951877325773,16.572383880615234,0.23112090001814067
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,90,0,0.0003981555928476155,14.734355926513672,0.2490002999547869
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,90,1,0.00042743206722661853,16.469341278076172,0.21764670009724796
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,90,2,0.0004650537739507854,16.67402458190918,0.21725330012850463
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,100,0,0.000290555035462603,14.916882514953613,0.22223909990862012
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,100,1,0.0004182349075563252,14.744710922241211,0.22586489981040359
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,100,2,0.0003849030181299895,14.896073341369629,0.21358340000733733
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,200,0,0.00047273121890611947,11.683167457580566,0.21782409981824458
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,200,1,0.00035381189081817865,11.702178001403809,0.31581029994413257
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,200,2,0.00048777012852951884,12.759379386901855,0.3602504001464695
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,300,0,0.0004178793169558048,11.24474048614502,0.38453419995494187
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,300,1,0.0003934646665584296,11.086764335632324,0.40091590001247823
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,300,2,0.00043576781172305346,12.089698791503906,0.3951602999586612
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,400,0,0.0005058794631622732,11.270309448242188,0.3983670000452548
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,400,1,0.00040875279228203,9.957011222839355,0.39298470015637577
nsb_log_d8,u,pytorch,mlp_4x40_tanh,tanh,4,40,400,2,0.0005616804701276124,11.719308853149414,0.49377880012616515
