problem,target,framework,model,activation,num_runs,num_train_sizes,num_seeds,min_m,max_m,best_relative_error,mean_relative_error,std_relative_error,mean_final_train_loss,mean_training_time_sec,total_training_time_sec
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,336,14,12,10,500,0.0032354684080928,0.39295849246333264,0.37680462801333536,0.0050076511020977,63.398945536609624,21302.045700300834
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,168,14,12,10,500,0.0034278049133718,0.13459983713082255,0.26848786369653127,5.306625603279394e-07,453.1009277922595,76120.95586909959
diffusion_affine_d4,u,jax,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0051112044602632,0.14620630573924803,0.24809863303081928,4.991520752707316e-07,78.1304577500005,13125.916902000085
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,168,14,12,10,500,0.0123306224122643,0.22895538350123731,0.2384545293250416,5.525185172029437e-07,94.40401470773907,15859.874470900162
diffusion_affine_d4,u,jax,mlp_10x100_relu,relu,168,14,12,10,500,0.0199694372713565,0.15669166395396344,0.10282982371537865,4.991544840106058e-07,151.46404341845067,25445.95929429971
diffusion_affine_d4,u,jax,mlp_10x100_tanh,tanh,168,14,12,10,500,0.0214825067669153,0.2735568066016726,0.23658982790478297,4.90819941557588e-07,137.48562628868828,23097.585216499632
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,336,14,12,10,500,0.0035027926787734,0.38931087991832536,0.3727763411630119,0.005137816648230761,51.771896227976306,17395.35713260004
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,168,14,12,10,500,0.0036398649681359,0.14808193853518567,0.3018364875588407,5.091517319924389e-07,378.74199598750107,63628.65532590018
diffusion_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0051025003194808,0.14127369077288585,0.24683941562342393,4.992965001872022e-07,75.95843789404621,12761.017566199764
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,168,14,12,10,500,0.0097930217161774,0.22062174974763318,0.2251918675849597,7.813119981257105e-07,84.12001655832795,14132.162781799096
