coefficient,architecture,gmean_error_d4,gmean_error_d8,ratio_d8_over_d4
affine,mlp_10x100_elu,0.002559976931270354,0.0036920299885201406,1.4422122103608257
affine,mlp_10x100_relu,0.01918060963078307,0.04369901281089759,2.278291131099649
affine,mlp_10x100_tanh,0.13438950025368362,0.2801053179053948,2.0842797791244636
affine,mlp_4x40_elu,0.0021589459627699118,0.002393959700198901,1.1088557756802158
affine,mlp_4x40_relu,0.008610185738618431,0.02432259091154679,2.8248625116709194
affine,mlp_4x40_tanh,0.002477520949169837,0.002295852886229088,0.9266734503287967
log,mlp_10x100_elu,0.0042775963008320275,0.016516763793958205,3.8612254715915006
log,mlp_10x100_relu,0.040634822430025086,0.13001359506049745,3.199561048516613
log,mlp_10x100_tanh,0.16168330299041647,0.4492235677717408,2.7784165678404515
log,mlp_4x40_elu,0.003303201429052135,0.00991065328159251,3.000317569018613
log,mlp_4x40_relu,0.02609693308437487,0.07462651129595202,2.8595893262505037
log,mlp_4x40_tanh,0.004776806051372553,0.008753555791026343,1.8325122889406664
