case,architecture,activation,framework,gmean_error_m500,gstd_error_m500,n_trials
diffusion_affine_d4,mlp_10x100_elu,elu,jax,0.0024666276755152465,1.0955246507498013,12
diffusion_affine_d4,mlp_10x100_elu,elu,pytorch,0.002656858979443439,1.1805398556812796,12
diffusion_affine_d4,mlp_10x100_relu,relu,jax,0.017355841763370985,1.3765090549367516,12
diffusion_affine_d4,mlp_10x100_relu,relu,pytorch,0.021197230928028037,1.3702265413111985,12
diffusion_affine_d4,mlp_10x100_tanh,tanh,jax,0.14711143093720794,1.615100107732996,12
diffusion_affine_d4,mlp_10x100_tanh,tanh,pytorch,0.1227677391442387,1.612360492785992,12
diffusion_affine_d4,mlp_4x40_elu,elu,jax,0.0021611134868381944,1.0691440121932387,12
diffusion_affine_d4,mlp_4x40_elu,elu,pytorch,0.002156780612655291,1.052288000689434,12
diffusion_affine_d4,mlp_4x40_relu,relu,jax,0.009866042783158674,1.6977766303106647,12
diffusion_affine_d4,mlp_4x40_relu,relu,pytorch,0.007514187813989332,1.8619497480111702,12
diffusion_affine_d4,mlp_4x40_tanh,tanh,jax,0.0024717802889028797,1.0847183077820715,12
diffusion_affine_d4,mlp_4x40_tanh,tanh,pytorch,0.0024832749420054126,1.069686453514755,12
diffusion_affine_d8,mlp_10x100_elu,elu,jax,0.003735092562245642,1.1713646307446217,12
diffusion_affine_d8,mlp_10x100_elu,elu,pytorch,0.003649463891180427,1.1791034529983173,12
diffusion_affine_d8,mlp_10x100_relu,relu,jax,0.04292292667930257,1.7494831817091845,12
diffusion_affine_d8,mlp_10x100_relu,relu,pytorch,0.04448913129606794,1.9137871229306807,12
diffusion_affine_d8,mlp_10x100_tanh,tanh,jax,0.33314952618220606,1.4393579432077364,12
diffusion_affine_d8,mlp_10x100_tanh,tanh,pytorch,0.23550683087560964,1.7162155330327686,12
diffusion_affine_d8,mlp_4x40_elu,elu,jax,0.002370703550819576,1.0861995555694277,12
diffusion_affine_d8,mlp_4x40_elu,elu,pytorch,0.0024174439879651446,1.082236404958001,12
diffusion_affine_d8,mlp_4x40_relu,relu,jax,0.02227025084725116,1.6182875258646625,12
diffusion_affine_d8,mlp_4x40_relu,relu,pytorch,0.026564066687352957,1.4216080565555025,12
diffusion_affine_d8,mlp_4x40_tanh,tanh,jax,0.002285302711933047,1.0650763178840794,12
diffusion_affine_d8,mlp_4x40_tanh,tanh,pytorch,0.0023064517657479014,1.0919866878625297,12
diffusion_log_d4,mlp_10x100_elu,elu,jax,0.004233560938900849,1.2104130810990408,12
diffusion_log_d4,mlp_10x100_elu,elu,pytorch,0.004322089696349679,1.2054372269670979,12
diffusion_log_d4,mlp_10x100_relu,relu,jax,0.0381522645298048,1.2585573988677232,12
diffusion_log_d4,mlp_10x100_relu,relu,pytorch,0.043278919725190865,1.207295584382723,12
diffusion_log_d4,mlp_10x100_tanh,tanh,jax,0.2264974388714694,1.6895854583972194,12
diffusion_log_d4,mlp_10x100_tanh,tanh,pytorch,0.11541627400354547,2.1937488845329085,12
diffusion_log_d4,mlp_4x40_elu,elu,jax,0.0033719719153483653,1.0946426124872795,12
diffusion_log_d4,mlp_4x40_elu,elu,pytorch,0.0032358334988578405,1.1354616484545033,12
diffusion_log_d4,mlp_4x40_relu,relu,jax,0.023967334925230833,1.256341398208785,12
diffusion_log_d4,mlp_4x40_relu,relu,pytorch,0.02841575496545451,1.3998461697021585,12
diffusion_log_d4,mlp_4x40_tanh,tanh,jax,0.004582289342270049,1.1438348308718616,12
diffusion_log_d4,mlp_4x40_tanh,tanh,pytorch,0.004979579932227835,1.138654585955417,12
diffusion_log_d8,mlp_10x100_elu,elu,jax,0.0169919690321193,1.1530762140784787,12
diffusion_log_d8,mlp_10x100_elu,elu,pytorch,0.016054848364526687,1.5465704851568047,12
diffusion_log_d8,mlp_10x100_relu,relu,jax,0.1276873174504368,2.0595086484046994,12
diffusion_log_d8,mlp_10x100_relu,relu,pytorch,0.13238225407246337,1.2746431402688765,12
diffusion_log_d8,mlp_10x100_tanh,tanh,jax,0.5226178473201024,2.1517754893545376,12
diffusion_log_d8,mlp_10x100_tanh,tanh,pytorch,0.386136475966862,1.8859820214178202,12
diffusion_log_d8,mlp_4x40_elu,elu,jax,0.01012784250121251,1.0607332537679521,12
diffusion_log_d8,mlp_4x40_elu,elu,pytorch,0.00969812163411717,1.074094042612896,12
diffusion_log_d8,mlp_4x40_relu,relu,jax,0.06425340287821553,2.281936825375557,12
diffusion_log_d8,mlp_4x40_relu,relu,pytorch,0.08667426064204625,1.5382171484503124,12
diffusion_log_d8,mlp_4x40_tanh,tanh,jax,0.0087217682766108,1.0611490282610423,12
diffusion_log_d8,mlp_4x40_tanh,tanh,pytorch,0.00878545915879188,1.0678236951242739,12
