case,architecture,framework,fitted_slope
diffusion_affine_d4,mlp_10x100_elu,jax,-1.4647596052608973
diffusion_affine_d4,mlp_10x100_elu,pytorch,-1.4401388482671913
diffusion_affine_d4,mlp_10x100_relu,jax,-0.8001756787171127
diffusion_affine_d4,mlp_10x100_relu,pytorch,-0.7871209522092619
diffusion_affine_d4,mlp_10x100_tanh,jax,-0.41820537017351955
diffusion_affine_d4,mlp_10x100_tanh,pytorch,-0.4888988031610823
diffusion_affine_d4,mlp_4x40_elu,jax,-1.5930040458255361
diffusion_affine_d4,mlp_4x40_elu,pytorch,-1.5845789847949092
diffusion_affine_d4,mlp_4x40_relu,jax,-1.0914565155289857
diffusion_affine_d4,mlp_4x40_relu,pytorch,-1.152370678570885
diffusion_affine_d4,mlp_4x40_tanh,jax,-1.5472660122283222
diffusion_affine_d4,mlp_4x40_tanh,pytorch,-1.5335166653456163
diffusion_affine_d8,mlp_10x100_elu,jax,-1.3663893253841801
diffusion_affine_d8,mlp_10x100_elu,pytorch,-1.3632044783879198
diffusion_affine_d8,mlp_10x100_relu,jax,-0.6328231254018154
diffusion_affine_d8,mlp_10x100_relu,pytorch,-0.6461975865511347
diffusion_affine_d8,mlp_10x100_tanh,jax,-0.27373436717763716
diffusion_affine_d8,mlp_10x100_tanh,pytorch,-0.360589803044366
diffusion_affine_d8,mlp_4x40_elu,jax,-1.8750279186837369
diffusion_affine_d8,mlp_4x40_elu,pytorch,-1.8520343931027816
diffusion_affine_d8,mlp_4x40_relu,jax,-0.9073893552112976
diffusion_affine_d8,mlp_4x40_relu,pytorch,-0.9610411727409846
diffusion_affine_d8,mlp_4x40_tanh,jax,-1.860895191188471
diffusion_affine_d8,mlp_4x40_tanh,pytorch,-1.8720211988204738
diffusion_log_d4,mlp_10x100_elu,jax,-1.327267681684054
diffusion_log_d4,mlp_10x100_elu,pytorch,-1.305691042305498
diffusion_log_d4,mlp_10x100_relu,jax,-0.6210514774403421
diffusion_log_d4,mlp_10x100_relu,pytorch,-0.5945596174706124
diffusion_log_d4,mlp_10x100_tanh,jax,-0.29211589917833347
diffusion_log_d4,mlp_10x100_tanh,pytorch,-0.43739945709540545
diffusion_log_d4,mlp_4x40_elu,jax,-1.4661944334083914
diffusion_log_d4,mlp_4x40_elu,pytorch,-1.4585337585177078
diffusion_log_d4,mlp_4x40_relu,jax,-0.8561259887832804
diffusion_log_d4,mlp_4x40_relu,pytorch,-0.8002602527470655
diffusion_log_d4,mlp_4x40_tanh,jax,-1.369695290400955
diffusion_log_d4,mlp_4x40_tanh,pytorch,-1.3259785532548602
diffusion_log_d8,mlp_10x100_elu,jax,-0.8654833879333039
diffusion_log_d8,mlp_10x100_elu,pytorch,-0.8805182308784699
diffusion_log_d8,mlp_10x100_relu,jax,-0.3764452912515773
diffusion_log_d8,mlp_10x100_relu,pytorch,-0.35780056848659325
diffusion_log_d8,mlp_10x100_tanh,jax,-0.13782770812962988
diffusion_log_d8,mlp_10x100_tanh,pytorch,-0.18486075468558885
diffusion_log_d8,mlp_4x40_elu,jax,-1.3851150332915971
diffusion_log_d8,mlp_4x40_elu,pytorch,-1.3802234776323916
diffusion_log_d8,mlp_4x40_relu,jax,-0.5764599291932845
diffusion_log_d8,mlp_4x40_relu,pytorch,-0.5308162637554156
diffusion_log_d8,mlp_4x40_tanh,jax,-1.3983361551158247
diffusion_log_d8,mlp_4x40_tanh,pytorch,-1.3971290532831364
