coefficient,target,architecture,gmean_error_d4,gmean_error_d8,ratio_d8_over_d4
affine,p,mlp_10x100_elu,0.011705946392662755,0.006103982982068351,0.521442929714278
affine,p,mlp_10x100_relu,0.029022131333958937,0.058587920858195024,2.0187325384211534
affine,p,mlp_10x100_tanh,0.2285848624780103,0.5564074501619346,2.434139531944993
affine,p,mlp_4x40_elu,0.011457786712042228,0.011087072966698412,0.9676452569191053
affine,p,mlp_4x40_relu,0.017215434766016335,0.026350796692778195,1.5306495044084087
affine,p,mlp_4x40_tanh,0.01031006436855192,0.011468384402556849,1.1123484774293042
affine,u,mlp_10x100_elu,0.0825508270343762,0.07062620663707053,0.8555481413609586
affine,u,mlp_10x100_relu,0.07781712273034148,0.07269908350225349,0.9342299091959045
affine,u,mlp_10x100_tanh,1.156936430575958,3.3143868716663065,2.8647960113213
affine,u,mlp_4x40_elu,0.07243584555831079,0.07358554943294253,1.0158720294595889
affine,u,mlp_4x40_relu,0.08789442767696586,0.17936977957079583,2.0407411972693525
affine,u,mlp_4x40_tanh,0.06799340191177902,0.07824719077014977,1.1508056454018136
log,p,mlp_10x100_elu,0.012288554314619513,0.03182395196949926,2.589723018242982
log,p,mlp_10x100_relu,0.04892611382904784,0.1369640655959647,2.7994061836697113
log,p,mlp_10x100_tanh,0.26105133637086003,0.6938036449205252,2.657728761575385
log,p,mlp_4x40_elu,0.011054198595822112,0.02086845283084728,1.8878304609738443
log,p,mlp_4x40_relu,0.02661493749361345,0.0873632918557313,3.282490964958873
log,p,mlp_4x40_tanh,0.011807113054618039,0.01927149263892911,1.63219345404604
log,u,mlp_10x100_elu,0.07957752912830113,0.06778625703409036,0.8518266120678369
log,u,mlp_10x100_relu,0.09238816708794825,0.1584792721475045,1.7153633105053518
log,u,mlp_10x100_tanh,1.0614903074613589,3.7322839902191776,3.516079199201772
log,u,mlp_4x40_elu,0.07370354908440191,0.07651675327725674,1.038169182187323
log,u,mlp_4x40_relu,0.16137269017710654,0.23645489419129173,1.465272060171907
log,u,mlp_4x40_tanh,0.07118074920627078,0.07864301150980044,1.1048353998340925
