case,target,architecture,activation,framework,gmean_error_m500,gstd_error_m500,n_trials
nsb_affine_d4,p,mlp_10x100_elu,elu,jax,0.002819561488115061,1.0635155735869832,12
nsb_affine_d4,p,mlp_10x100_elu,elu,pytorch,0.0028327654971995538,1.0521013734926157,12
nsb_affine_d4,p,mlp_10x100_relu,relu,jax,0.042696394675346756,1.1126512621216165,12
nsb_affine_d4,p,mlp_10x100_relu,relu,pytorch,0.04538570608993416,1.1276973582787675,12
nsb_affine_d4,p,mlp_10x100_tanh,tanh,jax,0.0038788648059519893,1.1723595197370509,12
nsb_affine_d4,p,mlp_10x100_tanh,tanh,pytorch,0.003817788572727083,1.10275116259545,12
nsb_affine_d4,p,mlp_4x40_elu,elu,jax,0.0026434207095687467,1.0599908914016791,12
nsb_affine_d4,p,mlp_4x40_elu,elu,pytorch,0.002633171021236273,1.0549055507349812,12
nsb_affine_d4,p,mlp_4x40_relu,relu,jax,0.012828963819308896,1.1324865168042735,12
nsb_affine_d4,p,mlp_4x40_relu,relu,pytorch,0.013151493505983037,1.2095895710631763,12
nsb_affine_d4,p,mlp_4x40_tanh,tanh,jax,0.002635368251986338,1.0619619419660253,12
nsb_affine_d4,p,mlp_4x40_tanh,tanh,pytorch,0.002614851274721507,1.0627850318682315,12
nsb_affine_d4,u,mlp_10x100_elu,elu,jax,0.006115720250241294,1.0345329488868462,12
nsb_affine_d4,u,mlp_10x100_elu,elu,pytorch,0.006056904928824379,1.0467268715806768,12
nsb_affine_d4,u,mlp_10x100_relu,relu,jax,0.036895599053933456,1.1116257380762322,12
nsb_affine_d4,u,mlp_10x100_relu,relu,pytorch,0.035872565263863225,1.3831494687858086,12
nsb_affine_d4,u,mlp_10x100_tanh,tanh,jax,0.03030779030439355,1.4192903132086425,12
nsb_affine_d4,u,mlp_10x100_tanh,tanh,pytorch,0.032593487794689666,1.4227336475792582,12
nsb_affine_d4,u,mlp_4x40_elu,elu,jax,0.0066467745243885,1.0536949776905362,12
nsb_affine_d4,u,mlp_4x40_elu,elu,pytorch,0.006546338559562549,1.0342776651532783,12
nsb_affine_d4,u,mlp_4x40_relu,relu,jax,0.01853117844707614,1.2204716459319636,12
nsb_affine_d4,u,mlp_4x40_relu,relu,pytorch,0.019595153844006567,1.1963044814577437,12
nsb_affine_d4,u,mlp_4x40_tanh,tanh,jax,0.006025610657657951,1.043025078508076,12
nsb_affine_d4,u,mlp_4x40_tanh,tanh,pytorch,0.005924201243457576,1.0259448675248073,12
nsb_affine_d8,p,mlp_10x100_elu,elu,jax,0.00444423153276981,1.066753725895134,12
nsb_affine_d8,p,mlp_10x100_elu,elu,pytorch,0.004426240346560766,1.1065278255230642,12
nsb_affine_d8,p,mlp_10x100_relu,relu,jax,0.0927454677948918,1.12198371448688,12
nsb_affine_d8,p,mlp_10x100_relu,relu,pytorch,0.09333167478446752,1.079055813294836,12
nsb_affine_d8,p,mlp_10x100_tanh,tanh,jax,0.009346122997034545,1.1975888533685788,12
nsb_affine_d8,p,mlp_10x100_tanh,tanh,pytorch,0.008923194982418937,1.0741736589451425,12
nsb_affine_d8,p,mlp_4x40_elu,elu,jax,0.003438299049323836,1.099332378367384,12
nsb_affine_d8,p,mlp_4x40_elu,elu,pytorch,0.0034920774240173222,1.1293265667494772,12
nsb_affine_d8,p,mlp_4x40_relu,relu,jax,0.014424952190054104,1.5107410798636762,12
nsb_affine_d8,p,mlp_4x40_relu,relu,pytorch,0.012478214247730008,1.576112721694527,12
nsb_affine_d8,p,mlp_4x40_tanh,tanh,jax,0.002131572735387443,1.1388357028776968,12
nsb_affine_d8,p,mlp_4x40_tanh,tanh,pytorch,0.002002891885182903,1.1101078908371884,12
nsb_affine_d8,u,mlp_10x100_elu,elu,jax,0.004708792645519735,1.0373836785357318,12
nsb_affine_d8,u,mlp_10x100_elu,elu,pytorch,0.004690894443833657,1.0805635223330112,12
nsb_affine_d8,u,mlp_10x100_relu,relu,jax,0.06116076880674145,1.1955282874365456,12
nsb_affine_d8,u,mlp_10x100_relu,relu,pytorch,0.06230639358926934,1.1715510750174274,12
nsb_affine_d8,u,mlp_10x100_tanh,tanh,jax,0.05356706137995846,1.3925544505074634,12
nsb_affine_d8,u,mlp_10x100_tanh,tanh,pytorch,0.05248199375976397,1.2945771609663557,12
nsb_affine_d8,u,mlp_4x40_elu,elu,jax,0.00450855112486947,1.0394204117582235,12
nsb_affine_d8,u,mlp_4x40_elu,elu,pytorch,0.004583375998895081,1.0532990619220692,12
nsb_affine_d8,u,mlp_4x40_relu,relu,jax,0.011009473350629347,1.2013956664105012,12
nsb_affine_d8,u,mlp_4x40_relu,relu,pytorch,0.01276114505668046,1.2207197898536915,12
nsb_affine_d8,u,mlp_4x40_tanh,tanh,jax,0.004520366858145934,1.0229216508302623,12
nsb_affine_d8,u,mlp_4x40_tanh,tanh,pytorch,0.004536138139261197,1.0440381059036856,12
nsb_log_d4,p,mlp_10x100_elu,elu,jax,0.02381693071667095,1.2419852830171338,12
nsb_log_d4,p,mlp_10x100_elu,elu,pytorch,0.02480491160109168,1.2561892323876414,12
nsb_log_d4,p,mlp_10x100_relu,relu,jax,0.0628921367830262,1.0802570793742108,12
nsb_log_d4,p,mlp_10x100_relu,relu,pytorch,0.06316773246992202,1.0709394092583482,12
nsb_log_d4,p,mlp_10x100_tanh,tanh,jax,0.05312297100199981,1.2540760336312353,12
nsb_log_d4,p,mlp_10x100_tanh,tanh,pytorch,0.05290620703838674,1.24478660534886,12
nsb_log_d4,p,mlp_4x40_elu,elu,jax,0.020422657379385444,1.1437231849852878,12
nsb_log_d4,p,mlp_4x40_elu,elu,pytorch,0.02027658231062019,1.1965226112239806,12
nsb_log_d4,p,mlp_4x40_relu,relu,jax,0.04109900484101521,1.09289088375367,12
nsb_log_d4,p,mlp_4x40_relu,relu,pytorch,0.03977266053386073,1.1470350405714733,12
nsb_log_d4,p,mlp_4x40_tanh,tanh,jax,0.03673372643694497,1.3088587599711063,12
nsb_log_d4,p,mlp_4x40_tanh,tanh,pytorch,0.03841978856076837,1.2911560625462526,12
nsb_log_d4,u,mlp_10x100_elu,elu,jax,0.009678652698574437,1.0867268938638854,12
nsb_log_d4,u,mlp_10x100_elu,elu,pytorch,0.009775215254304064,1.0715567537230302,12
nsb_log_d4,u,mlp_10x100_relu,relu,jax,0.04589990096279816,1.127193701189241,12
nsb_log_d4,u,mlp_10x100_relu,relu,pytorch,0.04631755090070677,1.2054595052289423,12
nsb_log_d4,u,mlp_10x100_tanh,tanh,jax,0.038344630177387526,1.31165907497988,12
nsb_log_d4,u,mlp_10x100_tanh,tanh,pytorch,0.04073385539079492,1.3906163073547522,12
nsb_log_d4,u,mlp_4x40_elu,elu,jax,0.009129961375274508,1.0679673311334659,12
nsb_log_d4,u,mlp_4x40_elu,elu,pytorch,0.008965844432139235,1.0661371062902438,12
nsb_log_d4,u,mlp_4x40_relu,relu,jax,0.024245884552816274,1.1505377446099263,12
