case,target,architecture,framework,fitted_slope
nsb_affine_d4,p,mlp_10x100_elu,jax,-1.3365686181045762
nsb_affine_d4,p,mlp_10x100_elu,pytorch,-1.3337990940146833
nsb_affine_d4,p,mlp_10x100_relu,jax,-0.775197516657401
nsb_affine_d4,p,mlp_10x100_relu,pytorch,-0.792758680492605
nsb_affine_d4,p,mlp_10x100_tanh,jax,-0.42053963260787725
nsb_affine_d4,p,mlp_10x100_tanh,pytorch,-0.49342106966768945
nsb_affine_d4,p,mlp_4x40_elu,jax,-1.227840057931479
nsb_affine_d4,p,mlp_4x40_elu,pytorch,-1.243345623839072
nsb_affine_d4,p,mlp_4x40_relu,jax,-1.0320629667221706
nsb_affine_d4,p,mlp_4x40_relu,pytorch,-1.0424906473667066
nsb_affine_d4,p,mlp_4x40_tanh,jax,-1.2842960650422255
nsb_affine_d4,p,mlp_4x40_tanh,pytorch,-1.2467936826499268
nsb_affine_d4,u,mlp_10x100_elu,jax,-1.4098746467240575
nsb_affine_d4,u,mlp_10x100_elu,pytorch,-1.3961327485725628
nsb_affine_d4,u,mlp_10x100_relu,jax,-0.5645193680197319
nsb_affine_d4,u,mlp_10x100_relu,pytorch,-0.5545675945902104
nsb_affine_d4,u,mlp_10x100_tanh,jax,-0.5102300130227578
nsb_affine_d4,u,mlp_10x100_tanh,pytorch,-0.5044310561144764
nsb_affine_d4,u,mlp_4x40_elu,jax,-1.27579185745589
nsb_affine_d4,u,mlp_4x40_elu,pytorch,-1.2744239640973514
nsb_affine_d4,u,mlp_4x40_relu,jax,-0.9069031005232863
nsb_affine_d4,u,mlp_4x40_relu,pytorch,-1.0068271430823994
nsb_affine_d4,u,mlp_4x40_tanh,jax,-1.2511298887572158
nsb_affine_d4,u,mlp_4x40_tanh,pytorch,-1.2279948970438548
nsb_affine_d8,p,mlp_10x100_elu,jax,-1.5120054642784222
nsb_affine_d8,p,mlp_10x100_elu,pytorch,-1.5385241003362542
nsb_affine_d8,p,mlp_10x100_relu,jax,-0.6518846260980637
nsb_affine_d8,p,mlp_10x100_relu,pytorch,-0.5941746255696025
nsb_affine_d8,p,mlp_10x100_tanh,jax,-0.25538744126196844
nsb_affine_d8,p,mlp_10x100_tanh,pytorch,-0.25172385866806707
nsb_affine_d8,p,mlp_4x40_elu,jax,-1.532860015600819
nsb_affine_d8,p,mlp_4x40_elu,pytorch,-1.5339041629360832
nsb_affine_d8,p,mlp_4x40_relu,jax,-1.018752483525161
nsb_affine_d8,p,mlp_4x40_relu,pytorch,-0.9724741037310247
nsb_affine_d8,p,mlp_4x40_tanh,jax,-1.5325554140434705
nsb_affine_d8,p,mlp_4x40_tanh,pytorch,-1.5451860430538187
nsb_affine_d8,u,mlp_10x100_elu,jax,-1.4306395272318047
nsb_affine_d8,u,mlp_10x100_elu,pytorch,-1.4685332330642071
nsb_affine_d8,u,mlp_10x100_relu,jax,-0.5928233770247072
nsb_affine_d8,u,mlp_10x100_relu,pytorch,-0.6371272647564071
nsb_affine_d8,u,mlp_10x100_tanh,jax,-0.24310208355878937
nsb_affine_d8,u,mlp_10x100_tanh,pytorch,-0.3166908591670634
nsb_affine_d8,u,mlp_4x40_elu,jax,-1.558855680773582
nsb_affine_d8,u,mlp_4x40_elu,pytorch,-1.553315860241639
nsb_affine_d8,u,mlp_4x40_relu,jax,-0.8205198292335172
nsb_affine_d8,u,mlp_4x40_relu,pytorch,-0.950256060024966
nsb_affine_d8,u,mlp_4x40_tanh,jax,-1.4901885440349394
nsb_affine_d8,u,mlp_4x40_tanh,pytorch,-1.4860532914170814
nsb_log_d4,p,mlp_10x100_elu,jax,-1.29232788027604
nsb_log_d4,p,mlp_10x100_elu,pytorch,-1.305615080209137
nsb_log_d4,p,mlp_10x100_relu,jax,-0.6563246347968588
nsb_log_d4,p,mlp_10x100_relu,pytorch,-0.6574613504952368
nsb_log_d4,p,mlp_10x100_tanh,jax,-0.4016026608830236
nsb_log_d4,p,mlp_10x100_tanh,pytorch,-0.4547271310633058
nsb_log_d4,p,mlp_4x40_elu,jax,-1.2429122624107043
