problem,target,framework,model,activation,num_runs,num_train_sizes,num_seeds,min_m,max_m,best_relative_error,mean_relative_error,std_relative_error,mean_final_train_loss,mean_training_time_sec,total_training_time_sec
diffusion_affine_d4,u,jax,mlp_10x100_elu,elu,168,14,12,10,500,0.0036045121960341,0.13991897725472444,0.2805659056924774,5.008978408768815e-07,297.7423679101197,50020.71780890011
diffusion_affine_d4,u,jax,mlp_4x40_elu,elu,168,14,12,10,500,0.0036703599616885,0.1622507575915993,0.34001948159270146,4.995387702219237e-07,77.58817260654784,13034.812997900037
diffusion_affine_d4,u,jax,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0051080109551548,0.1474671215262441,0.24942742838361304,4.992139236172815e-07,51.899036217261404,8719.038084499916
diffusion_affine_d4,u,jax,mlp_4x40_relu,relu,168,14,12,10,500,0.0123361349105834,0.22800566343080603,0.2361203062042162,5.242427715215637e-07,51.38352062500018,8632.43146500003
diffusion_affine_d4,u,jax,mlp_10x100_relu,relu,168,14,12,10,500,0.020278176292777,0.16445088321121318,0.10873895867613438,4.988709717070248e-07,106.32435350118942,17862.49138819982
diffusion_affine_d4,u,jax,mlp_10x100_tanh,tanh,168,14,12,10,500,0.0358668826520442,0.27711223926217776,0.23574056005853,4.902292239029023e-07,115.26128299166434,19363.89554259961
diffusion_affine_d4,u,pytorch,mlp_4x40_elu,elu,168,14,12,10,500,0.0034371286164969,0.1565329790478461,0.3318297297035016,4.996171248145791e-07,52.145969051785784,8760.522800700011
diffusion_affine_d4,u,pytorch,mlp_10x100_elu,elu,168,14,12,10,500,0.0035977268125861,0.14892243629410148,0.30361654770856555,4.975146677701386e-07,152.018938625595,25539.18168909996
diffusion_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0052433577366173,0.14251870824955398,0.24819045300784345,4.992912238998585e-07,36.28840346904707,6096.451782799908
diffusion_affine_d4,u,pytorch,mlp_4x40_relu,relu,168,14,12,10,500,0.0105842053890228,0.21726494221504597,0.22407486434535692,8.451241217109046e-07,50.1422211124998,8423.893146899965
diffusion_affine_d4,u,pytorch,mlp_10x100_relu,relu,168,14,12,10,500,0.0229803193360567,0.1708239641794491,0.10657758190701509,4.990732473212726e-07,62.08919895238095,10430.985423999999
diffusion_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,168,14,12,10,500,0.0330801084637641,0.26051618327342324,0.2227311151310528,4.90654688772587e-07,66.07991829880918,11101.426274199941
diffusion_affine_d8,u,jax,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0027296161279082,0.30151607853864937,0.42794990237358027,4.995758635979135e-07,51.61199678987933,8670.815460699727
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,168,14,12,10,500,0.0027485247701406,0.2856857881831404,0.5293075279644307,6.311164863096305e-07,133.19512433511963,22376.780888300098
diffusion_affine_d8,u,jax,mlp_10x100_elu,elu,168,14,12,10,500,0.0038800216279923,0.2755671521327236,0.4933768596337557,6.063122744611368e-07,462.06131008452627,77626.30009420041
diffusion_affine_d8,u,jax,mlp_4x40_relu,relu,168,14,12,10,500,0.0226078648120164,0.2746694724718552,0.22560431738111816,7.02224438344144e-07,114.0539600458353,19161.06528770033
diffusion_affine_d8,u,jax,mlp_10x100_relu,relu,168,14,12,10,500,0.0467551574110984,0.1552487225271761,0.06579741358529571,4.996878556220335e-07,149.54499188750023,25123.55863710004
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,168,14,12,10,500,0.0515449494123458,0.4070617831090376,0.32035990801483855,4.938431193714959e-07,148.85876599940613,25008.27268790023
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,168,14,12,10,500,0.002640608465299,0.27785692875927664,0.5344555693912552,6.61146969721791e-07,94.62254646607046,15896.587806299838
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0026944854762405,0.29993336073571947,0.4243655015396572,5.01791948268181e-07,44.00735572261891,7393.2357613999775
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,168,14,12,10,500,0.0037871394306421,0.27365496806201656,0.46894422834690425,6.139847426668763e-07,261.3286099690471,43903.20647479991
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,168,14,12,10,500,0.0197261404246091,0.2692225047365008,0.22667941229721678,7.032611208723253e-07,92.38626863571456,15520.893130800046
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,168,14,12,10,500,0.0415677279233932,0.3994558134471022,0.3231973762859694,4.932840161316e-07,88.42195167738109,14854.887881800023
diffusion_affine_d8,u,pytorch,mlp_10x100_relu,relu,168,14,12,10,500,0.0419266410171985,0.16081389682810926,0.06857239911682216,4.997597249896336e-07,97.82499892440535,16434.5998193001
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,168,14,12,10,500,0.0076339887455105,0.1757236299537388,0.3213490913364284,7.235219302834767e-07,136.88559810357194,22996.780481400085
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,168,14,12,10,500,0.0086541762575507,0.1729883278243332,0.26687422189938503,7.467019876068142e-07,489.8489505505945,82294.62369249988
diffusion_log_d4,u,jax,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0104064727202057,0.1749971275428487,0.237438262604105,6.576020733664986e-07,120.59836059166784,20260.524579400197
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,168,14,12,10,500,0.0319153703749179,0.2398357400670647,0.21527898627688047,8.480688513773635e-07,124.5997443541651,20932.757051499735
diffusion_log_d4,u,jax,mlp_10x100_relu,relu,168,14,12,10,500,0.0475505627691745,0.18229082432974658,0.09795718271598527,5.002057214991986e-07,289.2073279529799,48586.83109610062
diffusion_log_d4,u,jax,mlp_10x100_tanh,tanh,168,14,12,10,500,0.0586377382278442,0.31910796960194904,0.2288229084712033,4.977025538789262e-07,279.1108342249995,46890.62014979991
diffusion_log_d4,u,pytorch,mlp_4x40_elu,elu,168,14,12,10,500,0.0072557139210402,0.16904357572396592,0.3147563708010124,7.053459591637485e-07,110.01719010773783,18482.887938099957
